Noun,Gender,Plurality
Wolke,f,Wolken
Behinderung,f,Behinderungen
Stil,m,Stile
Regisseur,m,Regisseure
Anstrengung,f,Anstrengungen
Vermittlung,f,Vermittlungen
Kooperation,f,Kooperationen
Einwohner,m,Einwohner
Bord,n,Borde
Symbol,n,Symbole
Trennung,f,Trennungen
Eingriff,m,Eingriffe
Dichter,m,Dichter
Fan,m,Fans
Hütte,f,Hütten
Stasi,f,asi
Täter,m,Täter
Übertragung,f,Übertragungen
Handy,n,Handys
Hamburger,H,ger
Frankfurter,m,Frankfurter
Tour,f,Touren
Berücksichtigung,f,Berücksichtigungen
Verfassung,f,Verfassungen
Architekt,m,Architekten
Aufmerksamkeit,f,Aufmerksamkeiten
Beschluss,m,Beschlüsse
Absicht,f,Absichten
Zeitschrift,f,Zeitschriften
Griff,m,Griffe
Feind,m,Feinde
Geschlecht,n,Geschlechter
Erweiterung,f,Erweiterungen
Flüchtling,m,Flüchtlinge
Bindung,f,Bindungen
Business,n,no plural
Ehegatte,m,Ehegatten
Gläubiger,m,Gläubiger
Halt,m,Halte
Einschätzung,f,Einschätzungen
Bibel,f,Bibeln
Entstehung,f,Entstehungen
Gewissen,n,Gewissen
Elektron,n,Elektronen
Flucht,f,Fluchten
Börse,f,Börsen
Marketing,n,no plural
Nebenwirkung,f,Nebenwirkungen
Kindergarten,m,Kindergärten
Infektion,f,Infektionen
Orchester,n,Orchester
Mantel,m,Mäntel
Nationalsozialist,m,Nationalsozialisten
Kontinent,m,Kontinente
Klima,n,Klimata
Hemd,n,Hemden
Mut,m,
Paket,n,Pakete
Kündigung,f,Kündigungen
Oper,f,Opern
Vorgehen,n,no plural
Übergang,m,Übergänge
Ressource,f,Ressourcen
Scheibe,f,Scheiben
Vorbild,n,Vorbilder
Stille,f,no plural
These,f,Thesen
Transport,m,Transporte
Widerspruch,m,Widersprüche
Revolution,f,Revolutionen
Richtlinie,f,Richtlinien
Stress,m,Stresse
Rückkehr,f,no plural
Distanz,f,Distanzen
Aufenthalt,m,Aufenthalte
Besitz,m,Besitze
Alkohol,m,Alkohole
Ball,m,Bälle
Wüste,f,Wüsten
Frist,f,Fristen
Aussicht,f,Aussichten
Ei,n,Eier
Bemerkung,f,Bemerkungen
Anerkennung,f,Anerkennungen
Chemie,f,Chemien
Presse,f,Pressen
Höhepunkt,m,Höhepunkte
Kreuz,n,Kreuze
Münchner,m,Münchner
Geschenk,n,Geschenke
Horizont,m,Horizonte
Notwendigkeit,f,Notwendigkeiten
Gestaltung,f,Gestaltungen
Heim,n,Heime
Konferenz,f,Konferenzen
Organ,n,Organe
Rechtsprechung,f,Rechtsprechungen
Zeile,f,Zeilen
Übung,f,Übungen
Ring,m,Ringe
Regal,n,Regale
Vortrag,m,Vorträge
Gehalt,n,Gehälter
Eingang,m,Eingänge
Freundschaft,f,Freundschaften
Ferien,p,only
Fragestellung,f,Fragestellungen
Erscheinung,f,Erscheinungen
Geheimnis,n,Geheimnisse
Flug,m,Flüge
Besitzer,m,Besitzer
Ausführung,f,Ausführungen
Center,n,Center
Frühstück,n,Frühstücke
Gehalt,n,Gehälter
Miete,f,Mieten
Phantasie,f,Phantasien
Hut,m,Hüte
Klage,f,Klagen
Hut,m,Hüte
Protein,n,Proteine
Geräusch,n,Geräusche
Geschmack,m,Geschmäcker
Pass,m,Pässe
Öl,n,Öle
Gold,n,no plural
Medikament,n,Medikamente
Lehrerin,f,Lehrerinnen
Klinik,f,Kliniken
Interpretation,f,Interpretationen
Hafen,m,Häfen
Prognose,f,Prognosen
Marke,f,Marken
Vorgabe,f,Vorgaben
Schreck,m,Schrecke
Abhängigkeit,f,Abhängigkeiten
Weihnachten,n,Weihnachten
Turm,m,Türme
Serie,f,Serien
Protokoll,n,Protokolle
Wende,f,Wenden
Tee,m,Tees
Überzeugung,f,Überzeugungen
Dialog,m,Dialoge
Arbeitsmarkt,m,Arbeitsmärkte
Ärger,m,no plural
Betreuung,f,Betreuungen
Bombe,f,Bomben
Austausch,m,Austausche
Hitze,f,
Gen,n,Gene
Maler,m,Maler
E-Mail,(,E
Gas,n,Gase
Leib,m,Leiber
Entschuldigung,f,Entschuldigungen
Konzentration,f,Konzentrationen
Erhöhung,f,Erhöhungen
Kindheit,f,Kindheiten
Klavier,n,Klaviere
Pilot,m,Piloten
Resultat,n,Resultate
Stock,m,Stöcke
Milch,f,Milchen
Riese,m,Riesen
Übersetzer,m,Übersetzer
Umfrage,f,Umfragen
Strafe,f,Strafen
Ufer,n,Ufer
Menschheit,f,no plural
Mord,m,Morde
Großmutter,f,Großmütter
Gesichtspunkt,m,Gesichtspunkte
Dutzend,n,Dutzende
Ernährung,f,no plural
Baby,n,Babys
Differenz,f,Differenzen
Dunkelheit,f,Dunkelheiten
Eis,n,Eis
City,f,Citys
Empfang,m,Empfänge
Empfänger,m,Empfänger
Franzose,m,Franzosen
Hochzeit,f,Hochzeiten
Herkunft,f,Herkünfte
Onkel,m,Onkel
Konkurrent,m,Konkurrenten
Potenzial,n,Potenziale
Muster,n,Muster
Protest,m,Proteste
Reiz,m,Reize
Hunger,m,no plural
Note,f,Noten
Last,f,Lasten
Lebensjahr,n,Lebensjahre
Mischung,f,Mischungen
Sachverhalt,m,Sachverhalte
Medium,n,Medien
Nachfolger,m,Nachfolger
Konjunktur,f,Konjunkturen
Rohstoff,m,Rohstoffe
Sicherung,f,Sicherungen
Verarbeitung,f,Verarbeitungen
Turnier,n,Turniere
Schuss,m,Schüsse
Verteilung,f,Verteilungen
Übernahme,f,Übernahmen
Veröffentlichung,f,Veröffentlichungen
Witz,m,Witze
Sieger,m,Sieger
Taxi,n,Taxis
Wiedervereinigung,f,Wiedervereinigungen
Abschied,m,Abschiede
Strahlung,f,Strahlungen
Statistik,f,Statistiken
Bewerber,m,Bewerber
Benutzung,f,Benutzungen
Berner,m,Berner
Ertrag,m,Erträge
Flur,m,Flure
Herstellung,f,Herstellungen
Held,m,Helden
Defizit,n,Defizite
Format,n,Formate
Beurteilung,f,Beurteilungen
Einschränkung,f,Einschränkungen
Christ,m,Christen
Küste,f,Küsten
Kleidung,f,Kleidungen
Kneipe,f,Kneipen
Kette,f,Ketten
Messung,f,Messungen
Kammer,f,Kammern
Messer,n,Messer
Kaiser,m,Kaiser
Motto,n,Mottos
Kritiker,m,Kritiker
Japanisch,n,no plural
Moslem,m,Moslems
Nutzer,m,Nutzer
Top,n,Tops
Saal,m,Säle
Quadratmeter,m,Quadratmeter
Schwäche,f,Schwächen
Passagier,m,Passagiere
Premiere,f,Premieren
Verbreitung,f,Verbreitungen
Probe,f,Proben
Tuch,n,Tücher
Überraschung,f,Überraschungen
Tennis,n,no plural
Sektor,m,Sektoren
Symptom,n,Symptome
Sprung,m,Sprünge
Übersetzung,f,Übersetzungen
Zelt,n,Zelte
Wiese,f,Wiesen
Wärme,f,no plural
Auflösung,f,Auflösungen
Anhänger,m,Anhänger
Werbung,f,Werbungen
Vorlage,f,Vorlagen
Aufklärung,f,Aufklärungen
Anzeige,f,Anzeigen
Virus,n,Viren
Vorhaben,n,Vorhaben
Einigung,f,Einigungen
Einsicht,f,Einsichten
Bündnis,n,Bündnisse
Dialekt,m,Dialekte
Bube,m,Buben
Gleichung,f,Gleichungen
Geste,f,Gesten
Durchführung,f,Durchführungen
Bestellung,f,Bestellungen
Gedächtnis,n,Gedächtnisse
Burg,f,Burgen
Gefängnis,n,Gefängnisse
Mitteilung,f,Mitteilungen
Meldung,f,Meldungen
Nahrung,f,Nahrungen
Infrastruktur,f,Infrastrukturen
Schein,m,Scheine
Philosophie,f,Philosophien
Schnitt,m,Schnitte
Offizier,m,Offiziere
Nebel,m,Nebel
Mission,f,Missionen
Oma,f,Omas
Katalog,m,Kataloge
Schnittstelle,f,Schnittstellen
Sehnsucht,f,Sehnsüchte
Schulden,f,
Herrschaft,f,Herrschaften
Realisierung,f,Realisierungen
Stadion,n,Stadien
Tipp,m,Tipps
Wurzel,f,Wurzeln
Wunde,f,Wunden
Skandal,m,Skandale
Wiedersehen,n,Wiedersehen
Zeugnis,n,Zeugnisse
Zeuge,m,Zeugen
Bundesliga,f,Bundesligen
Befehl,m,Befehle
Bereitschaft,f,Bereitschaften
Bogen,m,Bögen
Ehre,f,Ehren
Anpassung,f,Anpassungen
Anblick,m,Anblicke
Arbeitsamt,n,Arbeitsämter
Droge,f,Drogen
Celsius,n,Celsius
Beschwerde,f,Beschwerden
Anliegen,n,Anliegen
Eigentum,n,Eigentümer
Anstieg,m,Anstiege
Formulierung,f,Formulierungen
Gelände,n,Gelände
Geliebte,f,Geliebte
Einzelfall,m,Einzelfälle
Inszenierung,f,Inszenierungen
Feststellung,f,Feststellungen
Kiste,f,Kisten
Knochen,m,Knochen
Geschwister,n,Geschwister
Kapitän,m,Kapitäne
Gramm,n,Gramme
Erreger,m,Erreger
Kontext,m,Kontexte
Epoche,f,Epochen
Show,f,Shows
Mörder,m,Mörder
Mode,f,Moden
Lohn,m,Löhne
Magen,m,Mägen
Stiftung,f,Stiftungen
Kunstwerk,n,Kunstwerke
Öffnung,f,Öffnungen
Reflexion,f,Reflexionen
Lastkraftwagen,m,Lastkraftwagen
Rente,f,Renten
Lebewesen,n,Lebewesen
Rathaus,n,Rathäuser
Partie,f,Partien
Zone,f,Zonen
Wechselwirkung,f,Wechselwirkungen
Zins,m,Zinsen
Version,f,Versionen
Unterscheidung,f,Unterscheidungen
Abbau,m,Abbaue
Agentur,f,Agenturen
Akademie,f,Akademien
Teller,m,Teller
Wähler,m,Wähler
Zettel,m,Zettel
Anfrage,f,Anfragen
Dokument,n,Dokumente
Aufführung,f,Aufführungen
Buchstabe,m,Buchstaben
Ausbau,m,Ausbaue
Einzelheit,f,Einzelheiten
Auflage,f,Auflagen
Bär,m,Bären
Bedenken,n,Bedenken
Fusion,f,Fusionen
Gleichgewicht,n,Gleichgewichte
Kurve,f,Kurven
Labor,n,Labors
Landkreis,m,Landkreise
Finanzminister,m,Finanzminister
Geruch,m,Gerüche
Führer,m,Führer
Erfüllung,f,Erfüllungen
Kollegin,f,Kolleginnen
Komponist,m,Komponisten
Investor,m,Investoren
Kerl,m,Kerle
Profi,m,Profis
Märchen,n,Märchen
Pflege,f,no plural
Regime,n,Regime
Plattform,f,Plattformen
Möbel,n,Möbel
Mittelalter,n,no plural
Rock,m,Röcke
Posten,m,Posten
Ofen,m,Öfen
Schrank,m,Schränke
Nerv,m,Nerven
Rücktritt,m,Rücktritte
Moderne,f,no plural
Vorhang,m,Vorhänge
Winkel,m,Winkel
Unsicherheit,f,Unsicherheiten
Status,m,Status
Topf,m,Töpfe
Tanz,m,Tänze
Zitat,n,Zitate
Sekretärin,f,Sekretärinnen
Staub,m,Stäube
Sportler,m,Sportler
Solidarität,f,Solidaritäten
Stabilität,f,no plural
Überblick,m,Überblicke
Abenteuer,n,Abenteuer
Allianz,f,Allianzen
Abgrenzung,f,Abgrenzungen
Begeisterung,f,Begeisterungen
Akteur,m,Akteure
Ausgleich,m,Ausgleiche
Armut,f,no plural
Akt,m,Akte
Bezirk,m,Bezirke
Eröffnung,f,Eröffnungen
Dresdner,m,Dresdner
Empfehlung,f,Empfehlungen
Chinesisch,n,no plural
Durchmesser,m,Durchmesser
Diagnose,f,Diagnosen
Einladung,f,Einladungen
Fels,m,Felsen
Dunkel,n,no plural
Großstadt,f,Großstädte
Hügel,m,Hügel
Hang,m,Hänge
Fülle,f,Füllen
Gebirge,n,Gebirge
Flüssigkeit,f,Flüssigkeiten
Gras,n,Gräser
Geschäftsjahr,n,Geschäftsjahre
Ingenieur,m,Ingenieure
Fräulein,n,Fräuleins
Kongress,m,Kongresse
Friedhof,m,Friedhöfe
Front,f,Fronten
Orientierung,f,Orientierungen
Stolz,m,no plural
Teilnahme,f,Teilnahmen
Nachweis,m,Nachweise
Senat,m,Senate
Muskel,m,Muskeln
Rhythmus,m,Rhythmen
Steuerung,f,Steuerungen
Polnisch,n,no plural
Rücksicht,f,Rücksichten
Personenkraftwagen,m,Personenkraftwagen
Vorsicht,f,no plural
Unterlagen,f,agen
Vertretung,f,Vertretungen
Wahrscheinlichkeit,f,Wahrscheinlichkeiten
Vereinigung,f,Vereinigungen
Universum,n,Universen
Unterhaltung,f,Unterhaltungen
Wange,f,Wangen
Volkshochschule,f,Volkshochschulen
Anordnung,f,Anordnungen
Abstimmung,f,Abstimmungen
Ablehnung,f,Ablehnungen
Zeichnung,f,Zeichnungen
Zwiebel,f,Zwiebeln
Zunahme,f,Zunahmen
Aufsatz,m,Aufsätze
Anregung,f,Anregungen
Werkzeug,n,Werkzeuge
Betrachter,m,Betrachter
Backofen,m,Backöfen
Befund,m,Befunde
Betriebssystem,n,Betriebssysteme
Beobachter,m,Beobachter
Bildschirm,m,Bildschirme
Brille,f,Brillen
Datenverarbeitung,f,Datenverarbeitungen
Bemühung,f,Bemühungen
Bakterie,f,Bakterien
Blüte,f,Blüten
Berater,m,Berater
Ensemble,n,Ensembles
Enttäuschung,f,Enttäuschungen
Faust,f,Fäuste
Eintragung,f,Eintragungen
Festival,n,Festivals
Gemüse,n,Gemüse
Galerie,f,Galerien
Eigentümer,m,Eigentümer
Lokal,n,Lokale
Lärm,m,no plural
Liter,m,Liter
Jazz,m,no plural
Höhle,f,Höhlen
Hass,m,no plural
Innenstadt,f,Innenstädte
Konsument,m,Konsumenten
Großvater,m,Großväter
Kohle,f,Kohlen
Genehmigung,f,Genehmigungen
Kloster,n,Klöster
Grundschule,f,Grundschulen
Maßstab,m,Maßstäbe
Münze,f,Münzen
Praktikum,n,Praktika
Stamm,m,Stämme
Sportart,f,Sportarten
Schuldner,m,Schuldner
Rückgang,m,Rückgänge
Netzwerk,n,Netzwerke
Malerei,f,Malereien
Sack,m,Säcke
Materie,f,Materien
Überprüfung,f,Überprüfungen
Zunge,f,Zungen
Versammlung,f,Versammlungen
Streifen,m,Streifen
Vermutung,f,Vermutungen
Tasse,f,Tassen
Teppich,m,Teppiche
Unsinn,m,no plural
Wirtschaftspolitik,f,Wirtschaftspolitiken
Wäsche,f,Wäschen
Verbot,n,Verbote
Zeug,n,Zeuge
Werkstatt,f,Werkstätten
Teufel,m,Teufel
Anweisung,f,Anweisungen
Architektur,f,Architekturen
Antibiotikum,n,Antibiotika
Ausgang,m,Ausgänge
Ausflug,m,Ausflüge
Aufstieg,m,Aufstiege
Atom,n,Atome
Ausstattung,f,Ausstattungen
Anzug,m,Anzüge
Bayer,m,Bayern
Zwang,m,Zwänge
Biologie,f,no plural
Betracht,m,no plural
Besonderheit,f,Besonderheiten
Entdeckung,f,Entdeckungen
Dirigent,m,Dirigenten
Butter,f,Buttern
Breite,f,Breiten
Betracht,m,no plural
Erfindung,f,Erfindungen
Bearbeitung,f,Bearbeitungen
Differenzierung,f,Differenzierungen
Champion,m,Champions
Ersatz,m,
Fieber,n,Fieber
Geheimdienst,m,Geheimdienste
Grenzwert,m,Grenzwerte
Gepäck,n,no plural
Gesetzgeber,m,Gesetzgeber
Handwerk,n,Handwerke
Helfer,m,Helfer
Feuerwehr,f,Feuerwehren
Gebühr,f,Gebühren
Gerücht,n,Gerüchte
Generalsekretär,m,Generalsekretäre
Gliederung,f,Gliederungen
Grab,n,Gräber
Fluggesellschaft,f,Fluggesellschaften
Heft,n,Hefte
Kompromiss,m,Kompromisse
Leidenschaft,f,Leidenschaften
Kuh,f,Kühe
Lieferung,f,Lieferungen
Leiche,f,Leichen
Intelligenz,f,Intelligenzen
Kartoffel,f,Kartoffeln
Konstruktion,f,Konstruktionen
Kreislauf,m,Kreisläufe
Kugel,f,Kugeln
Klang,m,Klänge
Leistungsfähigkeit,f,Leistungsfähigkeiten
Liga,f,Ligen
Königin,f,Königinnen
Jäger,m,Jäger
Käse,m,Käse
Problematik,f,Problematiken
Nachwuchs,m,Nachwüchse
Party,f,Partys
Schwangerschaft,f,Schwangerschaften
Milligramm,n,Milligramme
Parteitag,m,Parteitage
Schauspielerin,f,Schauspielerinnen
Planet,m,Planeten
Skala,f,Skalen
Salon,m,Salons
Schweiß,m,Schweiße
Nacken,m,Nacken
Rezession,f,Rezessionen
Palästinenser,m,Palästinenser
Priester,m,Priester
Tagebuch,n,Tagebücher
Tafel,f,Tafeln
Talent,n,Talente
Spektrum,n,Spektren
Unterschrift,f,Unterschriften
Unruhe,f,Unruhen
Vergnügen,n,Vergnügen
Ursprung,m,Ursprünge
Tempo,n,Tempi
Spalte,f,Spalten
Verbrechen,n,Verbrechen
Steckdose,f,Steckdosen
Anwesenheit,f,no plural
Zusammensetzung,f,Zusammensetzungen
Zerstörung,f,Zerstörungen
Abschreibung,f,Abschreibungen
Villa,f,Villen
Aufregung,f,Aufregungen
Zinssatz,m,Zinssätze
Wohnzimmer,n,Wohnzimmer
Vermieter,m,Vermieter
Achse,f,Achsen
Zulassung,f,Zulassungen
Verhaltensweise,f,Verhaltensweisen
Vormittag,m,Vormittage
Verordnung,f,Verordnungen
Vernunft,f,no plural
Chefin,f,Chefinnen
Autobahn,f,Autobahnen
Batterie,f,Batterien
Chor,m,Chöre
Design,n,Designs
Ehepaar,n,Ehepaare
Chaos,n,no plural
Erholung,f,Erholungen
Chip,m,Chips
Durchschnitt,m,Durchschnitte
Einbruch,m,Einbrüche
Dolmetscher,m,Dolmetscher
Eintritt,m,Eintritte
Europäer,m,Europäer
Germanistik,f,no plural
Geduld,f,no plural
Haustür,f,Haustüren
Fabrik,f,Fabriken
Gunst,f,no plural
Innenminister,m,Innenminister
General,m,Generäle
Hypothese,f,Hypothesen
Furcht,f,Fürchte
Handwerker,m,Handwerker
Gutachten,n,Gutachten
Gremium,n,Gremien
Glied,n,Glieder
Graf,m,Grafen
Italiener,m,Italiener
Islam,m,m
Gewehr,n,Gewehre
Getränk,n,Getränke
Parkplatz,m,Parkplätze
Konzeption,f,Konzeptionen
Kommentar,m,Kommentare
Magazin,n,Magazine
Kasten,m,Kästen
Menschenrecht,n,Menschenrechte
Maus,f,Mäuse
Mythos,m,Mythen
Minderheit,f,Minderheiten
Kassette,f,Kassetten
Mieter,m,Mieter
Naturwissenschaft,f,Naturwissenschaften
Kreativität,f,no plural
Marktanteil,m,Marktanteile
Ministerium,n,Ministerien
Militär,n,no plural
Regierungschef,m,Regierungschefs
Spezialist,m,Spezialisten
Präparat,n,Präparate
Übersicht,f,Übersichten
Stellvertreter,m,Stellvertreter
Ticket,n,Tickets
Provinz,f,Provinzen
Rahmenbedingung,f,Rahmenbedingungen
Scheidung,f,Scheidungen
Schönheit,f,Schönheiten
Partnerschaft,f,Partnerschaften
Periode,f,Perioden
Tunnel,m,Tunnel
Subvention,f,Subventionen
Steigerung,f,Steigerungen
Säule,f,Säulen
Vorlesung,f,Vorlesungen
Uniform,f,Uniformen
Weiterbildung,f,Weiterbildungen
Unrecht,n,no plural
Zielsetzung,f,Zielsetzungen
Zucker,m,Zucker
Volkswirtschaft,f,Volkswirtschaften
Block,m,Blöcke
Assistent,m,Assistenten
Apfel,m,Äpfel
Auswertung,f,Auswertungen
Abkommen,n,Abkommen
Beschränkung,f,Beschränkungen
Absolvent,m,Absolventen
Abwehr,f,Abwehren
Arbeitskraft,f,Arbeitskräfte
Bar,f,Bars
Bekämpfung,f,Bekämpfungen
Bedrohung,f,Bedrohungen
Fakt,m,Fakten
Frequenz,f,Frequenzen
Fachbereich,m,Fachbereiche
Frucht,f,Früchte
Datum,n,Daten
Erzähler,m,Erzähler
Fassung,f,Fassungen
Flügel,m,Flügel
Fachleute,m,ute
Forum,n,Foren
Darlehen,n,Darlehen
Erhaltung,f,Erhaltungen
Missbrauch,m,Missbräuche
Metall,n,Metalle
Motivation,f,Motivationen
Gipfel,m,Gipfel
Indianer,m,Indianer
Hörer,m,Hörer
Linse,f,Linsen
Jahreszeit,f,Jahreszeiten
Gerechtigkeit,f,Gerechtigkeiten
Großteil,m,Großteile
Industrieland,n,Industrieländer
Lücke,f,Lücken
Jagd,f,Jagden
Jacke,f,Jacken
Lampe,f,Lampen
Therapeut,m,Therapeuten
Option,f,Optionen
Respekt,m,no plural
Rose,f,Rosen
Rucksack,m,Rucksäcke
Reichweite,f,Reichweiten
Sozialdemokrat,m,Sozialdemokraten
Ordner,m,Ordner
Tablette,f,Tabletten
Tageszeitung,f,Tageszeitungen
Pistole,f,Pistolen
Reparatur,f,Reparaturen
Physiker,m,Physiker
Sänger,m,Sänger
Ozean,m,Ozeane
Verknüpfung,f,Verknüpfungen
Abfall,m,Abfälle
Zuwachs,m,Zuwächse
Währung,f,Währungen
Vorfeld,n,Vorfelder
Akte,f,Akten
Umzug,m,Umzüge
Vorgänger,m,Vorgänger
Weltmeister,m,Weltmeister
Veranstalter,m,Veranstalter
Wut,f,no plural
Zuordnung,f,Zuordnungen
Aufsichtsrat,m,Aufsichtsräte
Gemeinderat,G,no plural
Anleihe,f,Anleihen
Einblick,m,Einblicke
Arbeitszeit,f,Arbeitszeiten
Fahne,f,Fahnen
Erfassung,f,Erfassungen
Feier,f,Feiern
Beachtung,f,no plural
Araber,m,Araber
Diplom,n,Diplome
Ausgangspunkt,m,Ausgangspunkte
Fassade,f,Fassaden
Frühling,m,Frühlinge
Ausweis,m,Ausweise
Fakultät,f,Fakultäten
Engel,m,Engel
Ausrichtung,f,Ausrichtungen
Koch,m,Köche
Laune,f,Launen
Kerze,f,Kerzen
Nahrungsmittel,n,Nahrungsmittel
Landesregierung,f,Landesregierungen
Koralle,f,Korallen
Krankenkasse,f,Krankenkassen
Gewebe,n,Gewebe
Prinz,m,Prinzen
Kommune,f,Kommunen
Jurist,m,Juristen
Gruß,m,Grüße
Niederländisch,n,no plural
Kölner,m,Kölner
Kunststoff,m,Kunststoffe
Philosoph,m,Philosophen
Riff,n,Riffe
Schwein,n,Schweine
Verbindlichkeit,f,Verbindlichkeiten
Spruch,m,Sprüche
Stellungnahme,f,Stellungnahmen
Relation,f,Relationen
Profil,n,Profile
Schlange,f,Schlangen
Selbstständigkeit,f,Selbstständigkeiten
Siedlung,f,Siedlungen
Strahl,m,Strahlen
Strömung,f,Strömungen
Weib,n,Weiber
Volumen,n,Volumen
Bestandteil,m,Bestandteile
Zuhörer,m,Zuhörer
Vitamin,n,Vitamine
Zugriff,m,Zugriffe
Ermittlung,f,Ermittlungen
