jammerlich-adj; adv	pathetic; miserably
Kupfer-N	copper
Plutonium-N	plutonium
Socke-F	sock
Kluft-F	gap, outfit (coll)
Eisschrank-M	refrigerator
Bildhauer-M	sculptor
Ernennung-F	appointment,
Verbandszeug-N	bandages
Pokal-M	trophy (cup)
Hinterteil-N	rear, butt (coll)
Navigation-F	navigation
Ausbeutung-F	exploitation
Orakel-N	oracle
Slum-M	slum
Verwechslung-F	confusion, mistake
Hehler-M	fence
Riesending-N	big deal (coll)
Tagung-F	meeting, conference
Kleinkind-N	baby
Maschinerie-F	machinery
Appell-M	appeal
Armbanduhr-F	wristwatch
Kittchen-N	clink (coll)
Henne-F	hen
Verfolger-M	pursuer
Verhangnis-N	fate
Kost-F	fare, diet
Gaul-M	horse (coll)
Ehrenmedaille-F	medal of honor
Roulette-F	roulette
Pose-F	pose
Hosentasche-F	pocket
Arterie-F	artery
Karat-N	carat
Trumpf-M	trump
Rudel-N	pack
Fluglinie-F	airline
Schwertkampf-M	swordfight
Horoskop-N	horoscope
Stickstoff-M	nitrogen
Gebiss-N	set of teeth
Schema-N	scheme
Bewusstsei n-N	awareness
Rasierer-M	razor (coll)
Koje-F	bunk
Zusammenfassung-F	abstract
Geschoss-N	floor, projectile
Partisan-M	partisan
Bubi-M	little boy (coll)
Schwadron-F	squadron
Mappe-F	folder
Schlupfer-M	briefs, panties
Wendepunkt-F	turning point
Motte-F	moth
Dialog-M	dialogue
Amnestie-F	amnesty
Pilz-M	mushroom, fungus
Gladiator-M	gladiator
Ziffer-F	digit
Abschlussfeier-F	graduation
Transvestit-M	transvestite
Lagune-F	lagoon
Zepter-N/M	scepter
Skifahren-N	skiing
Verdauung-F	digestion
Kokosnuss-F	coconut
Transaktion-F	transaction
Ultimatum-N	ultimatum
Rehabilitation-F	rehabilitation
Bistro-N	bistro
Kettenreaktion-F	chain reaction
Sozialhilfe-F	welfare
Stabchen-N	chopstick
Vorsatz-M	resolution
Oberfall-M	attack
Misserfolg-M	failure
Jahrbuch-N	yearbook
Schwalbe-F	swallow
Codename-M	codename
Segler-M	sailor
Rollbahn-F	tarmac
Tang-M	seaweed
Kulisse-F	backdrop
Tentakel-M/N	tentacle
Karpfen-M	carp
Jalousie-F	shutter, (sun) blind
Krumel-M	crumb
Besinnung-F	reflection
Werbespot-M	commercial
Knechtschaft-F	servitude
Zahlmeister-M	paymaster
Verdammnis-F	damnation
Oberweisung-F	transfer
StraBenbahn-F	tram
Kleber-M	glue, gluten
Seemann-M	sailor
Spezialgebiet-N	specialty
Kenner-M	connoisseur
Probeaufnahme-F	test shot
Brustkorb-M	ribcage
Diplomat-M	diplomat
Bagger-M	excavator
Patenonkel-M	godfather
lndio-M	Indian
Lahmung-F	paralysis
Globus-M	globe
Wildschwein-N	boar
Meteorit-M	meteorite
Puck-M	puck
Gluhwurmchen-N	firefly
Heiligkeit-F	holiness
Kauderwelsch-N	gibberish
gemach-adv; N	slowly; chamber (fml)
Zyklop-M	Cyclops
Aroma-N	aroma, flavor
Meeting-N	meeting
Segelboot-N	sailboat
Untergeschoss-N	basement
Verleihung-F	award
Schwellung-F	swelling
Wollust-F	lust
Delirium-N	delirium
Verleumdung-F	slander
Hohn-M	scorn, mockery
Weihwasser-N	holy water
Verdeck-N	(folding) top
Bandenkrieg-M	gang war
Kinderheim-N	orphanage
Akkordeon-N	accordion
Sondereinheit-F	task force
Zusammensein-N	gathering; being together
Schallplatte-F	record
Ablosung-F	replacement
Pelzmantel-M	fur coat
Melancholie-F	melancholy
Nullpunkt-M	zero point
Macker-M	bloke (coll)
Klaps-M	smack (coll)
Guru-M	guru
Borsenmakler-M	stockbroker
Brautkleid-N	wedding dress
Beisein-N	presence
Einhalt-M	stop, brake
Heuschrecke-F	locust
Heiligtum-N	sanctuary
lndiz-N	clue
Brosche-F	brooch
Funker-M	radio operator
Wettrennen-N	race
Rummel-M	hype
Oberzahl-F	majority
Giraffe-F	giraffe
Flop-M	flop (coll)
Triade-F	triad
Lebzeit-F	lifetime
Likor-M	liquor
Scheckbuch-N	checkbook
Zusammenstofs-M	collision
BO rokratie-F	bureaucracy
Bankraub-M	bank robbery
Wimper-F	eyelash
Deckname-M	alias
lntensitat-F	intensity
Interpretation-F	interpretation
Spritzer-M	splash
Erpresser-M	blackmailer
Ruhestorung-F	disturbance
Morgenmantel-M	dressing gown
Kap-N	cape
Leichtigkeit-F	lightness, ease
Etikette-F	etiquette
Lack-M	paint, lacquer
Bombardierung-F	bombing
Schar-F	flock
Fullung-F	filling
Lockvogel-M	decoy
Badehose-F	bathing suit
Einlage-F	insert, deposit
Pfahl-M	stake
Beinbruch-M	broken leg
Postfach-N	mailbox
Umwandlung-F	conversion,
Verpackung-F	packaging
Nationalitat-F	nationality
Zeppelin-M	airship
Rittmeister-M	(cavalry) captain
Todestag-M	date of death
Werfer-F	pitcher
Eiswurfel-M	ice cube
Schachzug-M	gambit
lmmunitat-F	immunity
MOsli-N	cereals
Drecksloch-N	hellhole (coll)
Variante-F	variant
Transpla ntation-F	transplant
Vorkommnis-N	occurrence, incident
Meisterstuck-N	masterpiece
Diagramm-N	chart
Detonation-F	detonation
Fahrwerk-N	chassis
abfinden-vb; vbr	pay off; accept
durchqueren-vb	cross
erleuchten-vb	light (up)
enthullen-vb	reveal
verkraften-vb	cope with
austricksen-vb	fool (coll)
verschlagen-adj; adv;	devious; slyly; blend
verpacken-vb	wrap, pack
irritieren-vb	irritate
hetzen-vb	rush
abschlachten-vb	slaughter
buchstabieren-vb	spell
verklemmen-vb	jam
besturzen-vb	upset
kreuzigen-vb	crucify
teilhaben-vb	participate, share
verhauen-vb	spank (coll)
gro ziehen-vb	raise
bestreiten-vb	deny
spendieren-vb	buy (coll)
hineingehen-vb	goin
durchdenken-vb	think through
versohnen-vb	reconcile
abbrennen-vb	burn (down)
(he)rumstehen-vb	stand around
ausrusten-vb	equip
krepieren-vb	die (coll)
absitzen-vb	serve time (coll)
abriegeln-vb	lock down
versperren-vb	bar
schmoren-vb	stew
zusammenbrechen-vb	collapse
einjagen-vb	*scare
hochkommen-vb	come up
hergeben-vb	give (away)
sausen-vb	speed (coll); swish
rasten-vb	rest
ergehen-vb; vbr	fare; gush
erniedrigen-vb	humiliate
verstummen-vb	silence
behindern-vb	hinder
ausgraben-vb	dig up
abdrehen-vb	turn
klammern-vb	cling
ertappen-vb	catch
wiedererkennen-vb	recognize
beschimpfen-vb	insult
pladieren-vb	plead
abschlagen-vb	refuse
abfangen-vb	intercept
vergewissern-vb	make sure
traben-vb	trot
zelten-vb	camp
ausschneiden-vb	cut (out)
besichtigen-vb	visit
grollen-vb	resent, rumble
autorisieren-vb	authorize
Oberreichen-vb	hand over
verspielen-vb	gamble away, lose
offenbaren-vb	reveal
ermutigen-vb	encourage
pennen-vb	sleep (coll)
widerfahren-vb	happen (fml)
zerlegen-vb	disassemble
beistehen-vb	assist
abwischen-vb	wipe (off)
bewohnen-vb	inhabit
absperren-vb	seal off
hasten-vb	scurry, race
notigen-vb	compel
WOrgen-vb; N	choke; retch
schminken-vb	make up
zuruckbekommen-vb	get back
entschlusseln-vb	decipher
verschwimmen-vb	blur
blenden-vb	glare, blind, disguise
altern-vb	age
missachten-vb	disregard
zertrummern-vb	smash
zerschmettern-vb	smash
Obertreffen-vb; vbr	exceed; excel
rammen-vb	ram
entbehren-vb	spare, lack
konstruieren-vb	construct
verstandigen-vb; vbr	notify, communicate
auffressen-vb	eat up (coll)
beheben-vb	correct
verkrampfen-vb	cramp
heften-vb	baste
entscha rfen-vb	defuse
standhalten-vb	withstand
trollen-vb	troll (coll)
verschreiben-vb; vbr	prescribe; be
fallenlassen-vb	drop
beibehalten-vb	maintain
kidnappen-vb	kidnap
kaputtmachen-vb	break
beklauen-vb	steal from
niesen-vb	sneeze
lauern-vb	lurk
verschenken-vb	give away
ertranken-vb	drown
u ntersagen-vb	forbid
meckern-vb	complain (coll)
spotten-vb	scoff, mock
kneifen-vb	pinch
zubereiten-vb	prepare
spuken-vb	haunt
vollmachen-vb	fill (up)
zufugen-vb	cause, inflict
besteigen-vb	board, climb
aufladen-vb	charge, load
umhauen-vb	blow one's mind
krampfen-vb	seize
verbluten-vb	bleed out
vorsingen-vb	audition, sing to
behuten-vb	protect
weiterziehen-vb	move on
verwusten-vb	devastate
auffliegen-vb	fly up, get busted
bruhen-vb	brew
aufheitern-vb	cheer (up)
blamieren-vb	disgrace
anheben-vb	raise
zusammenreilsen-vbr	control oneself
abkuhlen-vb	cool
bowlen-vb	bowl
reimen-vb	rhyme
joggen-vb	jog
schwanzen-vb	cut, skip (coll)
verschicken-vb	send (out)
aufmuntern-vb	cheer up
falschen-vb	fake
ausbrennen-vb	burn out
recherchieren-vb	research
renovieren-vb	renovate
taufen-vb	baptize
uberarbeiten-vb; vbr	revise, overdo things
spezialisieren-vb	specialize
wegziehen-vb	pull (away), move
absteigen-vb	descend
aufrufen-vb	call, invoke
flattern-vb; N	flutter; wobble
ackern-vb	plow, work hard
pensionieren-vb	retire
hammern-vb	pound
erneuern-vb	renew
abliefern-vb	deliver
miauen-vb	meow
durchfallen-vb	fail
versinken-vb	sink
spalten-vb	split
ablosen-vb	detach, replace
uberweisen-vb	transfer
eintauschen-vb	trade
erkunden-vb	explore, find out
verhelfen-vb	help to
verkorpern-vb	embody, represent
verkuppeln-vb	set up
anschreien-vb	shout at
verbeugen-vbr	bow
zusammenziehen-vb	contract, move in
bemitleiden-vb	pity
hinbekommen-vb	get
aufwuhlen-vb	churn, stir up
hypnotisieren-vb	hypnotize
aufsitzen-vb	mount (up)
verseuchen-vb	contaminate
einspringen-vb	fill in
erlassen-vb	waive, issue
Libergehen-vb	ignore, overflow
luften-vb	ventilate, reveal
erlernen-vb	learn
vermobeln-vb	beat up (coll)
klimpern-vb	tinkle
untertauchen-vb	disappear
mixen-vb	mix
wickeln-vb	wind, wrap
wackeln-vb	wiggle
spruhen-vb	spray
zerstuckeln-vb	dismember
ausschlafen-vb	sleep in
misshandeln-vb	abuse
rumpeln-vb	rumble
flippen-vb	flip (out)
wandeln-vb	convert, walk
rummachen-vb	make out (coll)
bestehlen-vb	steal from
stabilisieren-vb	stabilize
lasten-vb; nnpl	weigh; charges
vorrucken-vb	advance
entehren-vb	dishonor
verschleppen-vb	delay, abduct
verbluffen-vb	amaze
uberblicken-vb	overlook
uberlisten-vb	outsmart
nachweisen-vb	prove
hintergehen-vb	cheat
plundern-vb	plunder
anfertigen-vb	make, manufacture
kapitulieren-vb	surrender
durchstehen-vb	get through
nachladen-vb	recharge
bezwingen-vb	defeat
nachvollziehen-vb	comprehend, track
(he)rumliegen-vb	lie around
motivieren-vb	motivate
ausstrecken-vb	stretch
Uberlasten-vb	overload
erlegen-vb	kill
belagern-vb	besiege
hinhalten-vb	stall
einreden-vb	persuade
verstUmmeln-vb	mutilate
besaufen-vbr	get wasted (coll)
aufdecken-vb	uncover
hineinziehen-vb	implicate, involve
abfUhren-vb	lead away
abstreiten-vb	deny
absichern-vb	secure
beschmutzen-vb	stain
kultivieren-vb	cultivate
wiederherstellen-vb	restore
schimpfen-vb	rant, offend
Uberfluten-vb	flood, overrun
praktizieren-vb	practice
niederbrennen-vb	burn (down)
aufgreifen-vb	capture, address
verheilen-vb	heal
schmieden-vb	forge
vertagen-vb	postpone
hinschicken-vb	send
spionieren-vb	spy
austragen-vb; vbr	deliver; unsubscribe
erwUnscht-vb	desirable
abhacken-vb	chop (off)
handhaben-vb	handle
trUben-vb	cloud, tarnish
ablassen-vb	drain
Uberfordern-vb	overwhelm
verwanzen-vb	bug
schleudern-vb	hurl, spin
absuchen-vb	search
gliedern-vb	divide, structure
vorlegen-vb	submit
aufdrehen-vb	loosen
wiedergeben-vb	reproduce, play
runterholen-vb	bring down,
langen-vb	reach, be enough
zerstreuen-vb	disperse
belehren-vb	teach
heimbringen-vb	bring home
fluten-vb	flood
angstigen-vb	frighten
aufkreuzen-vb	show up (coll)
UberfUhren-vb	transport
beschworen-vb	invoke
durchlaufen-vb	go through
nominieren-vb	nominate
komponieren-vb	compose
vorgeben-vb	pretend
aufschneiden-vb	slice
abschreiben-vb	copy; write off
drangeln-vb	scramble, push
abspielen-vb	play (back)
einweisen-vb	instruct
totlachen-vb	die laughing
zerren-vb; vbr	drag; strain
Ubersteigen-vb	exceed
verka beln-vb	wire
einlosen-vb	redeem, cash
masturbieren-vb	masturbate
unterziehen-vb; vbr	fold in; submit to
vererben-vb	inherit
zuruckverfolgen-vb	retrace
auspeitschen-vb	whip
begnadigen-vb	pardon
abspringen-vb	jump (off)
beehren-vb	honor (fml)
nachwachsen-vb	grow back
auskennen-vbr	be well informed
bescheren-vb	bring, grant
uberschwemmen-vb	flood
tolerieren-vb	tolerate
bugeln-vb	iron
schlupfen-vb	slip, hatch
bewiigen-vb	grant, approve
anketten-vb	chain
muhen-vbr	struggle, strive
salutieren-vb	salute
versohlen-vb	spank
distanzieren-vbr	dissociate
festnageln-vb	pin (down)
kraftigen-vb	strengthen
schrubben-vb	scrub (coll)
tarnen-vb	disguise
aushelfen-vb	help (out)
walten-vb	prevail (fml)
deportieren-vb	deport
uberfullen-vb	overcrowd
einwenden-vb	object
funkeln-vb	sparkle
inspizieren-vb	inspect
zugucken-vb	watch (coll)
durchdringen-vb	penetrate
erdulden-vb	endure
durchbohren-vb	pierce
signieren-vb	sign
verdammen-vb	condemn, damn
koordinieren-vb	coordinate
hingeben-vbr; vb	indulge in; hand over
freisprechen-vb	absolve
(he)runterlasse n-vb	lower, let down
verbocken-vb	mess up (coll)
zuruckschlagen-vb	fight back
verabreichen-vb	administer
beflecken-vb	stain
dammern-vb	dawn
farben-vb	dye
reintun-vb	put in (coll)
abkaufen-vb	buy
knistern-vb	crackle
vermachen-vb	leave to
herbitten-vb	ask to come
verubeln-vb	resent
herrichten-vb	arrange
aufbleiben-vb	stay up
auszahlen-vb	pay off
u nterkriegen-vb	get down
zugehen-vb	shut (coll), reach
schnitzen-vb	carve
umstimmen-vb	sway
amputieren-vb	amputate
sabotieren-vb	sabotage
vertun-vb	waste
erzwingen-vb	force
anzapfen-vb	tap
aussperren-vb	lock out
fegen-vb	sweep
revanchieren-vbr	return the favor
verzehren-vb	consume
anbauen-vb	grow
erwahlen-vb	choose (fml)
beanspruchen-vb	claim
abschicken-vb	send
abwaschen-vb	wash off, do the
Oberlaufen-vb; adj	overflow;
aufbrauchen-vb	deplete
austrinken-vb	finish (drinking)
zusammentun-vbr; vb	get together;
verspannen-vb	brace
abtrennen-vb	detach
verblassen-vb	fade
abservieren-vb	ditch (coll)
grubeln-vb	brood
inhaftieren-vb	imprison
vorhersagen-vb	predict, forecast
verspotten-vb	mock
erringen-vb	gain, win
steppen-vb	tap (dance), stitch
preisgeben-vb	reveal
fauchen-vb; N	hiss
einfadeln-vb; vbr	thread; merge
kreieren-vb	create (fml)
dabeihaben-vb	carry (coll), have on
voraussagen-vb	predict
quetschen-vb	squeeze
fasten-vb	fast
rulpsen-vb; N	burp (coll); burping
nachmachen-vb	imitate
verfaulen-vb	rot
ausrotten-vb	exterminate
herausbekommen-vb	find out
experimentieren-vb	experiment
schummeln-vb	cheat
wurfeln-vb	roll (dice)
wegschaffen-vb	get rid of
einschenken-vb	pour
weglassen-vb	omit
bursten-vb	brush
kombinieren-vb	combine
verlangsamen-vb	slow (down)
zuweisen-vb	assign
faxen-vb	fax
wiedergutmachen-vb	make up for
sprayen-vb	spray
mahen-vb	mow
anbei en-vb	bite
dampfen-vb	dampen, steam
einchecken-vb	check in
rubergehen-vb	go over to (coll)
gutgehen-vb	work out
schrumpfen-vb	shrink
nachholen-vb	make up, catch up
anstiften-vb	incite
abwehren-vb	fend off
ausrufen-vb	exclaim, declare
tatowieren-vb	tattoo
hereinspazieren-vb	walk in
schwanken-vb	vary, fluctuate
stampfen-vb	stomp
pellen-vb	peel (coll)
anbelangen-vb	concern
schwinden-vb	wane
bandigen-vb	tame
losziehen-vb	head out
erstarren-vb	freeze
rohren-vb	roar
abkratzen-vb	scrape (off)
zieren-vb; vbr	decorate; hesitate
verduften-vb	beat it (coll)
picken-vb	peck, pick
verschmelzen-vb	merge
vorschreiben-vb	prescribe, stipulate
zermalmen-vb	crush
ermuden-vb	tire
schOtten-vb	pour, throw
hochheben-vb	lift
freimachen-vb; vbr	clear; undress
verscheuchen-vb	scare away
einstufe n-vb	classify
austeilen-vb	distribute
Oberbrucken-vb	bridge
eskortieren-vb	escort
tradeIn-vb	dawdle (coll), linger
beschneiden-vb	cut
einbuchten-vb	lock up (coll)
verschlechtern-vb	deteriorate
eingestehen-vb	admit
einlochen-vb	hole, put behind bars
herunterkommen-vb	come down,
verhangen-vb	impose, declare
umschreiben-vb	rewrite
verspeisen-vb	eat (fml)
anbeten-vb	worship
beleuchten-vb	illuminate
versteinern-vb	petrify
entlarven-vb	expose
ausschwa rm en-vb	swarm
bereinigen-vb	settle
hochnehmen-vb	bust (coll)
streuen-vb	scatter
wahren-vb	last (fml)
verstauchen-vb	sprain
abbeiBen-vb	bite (off)
anpacken-vb	tackle, handle
tratschen-vb	gossip (coll)
klirren-vb	clink
entfachen-vb	ignite
hissen-vb	hoist
festsitzen-vb	be stuck
veralten-vb	become outdated
verzoge rn-vb	delay
ausreiBen-vb	run away (coll)
erblicken-vb	see, behold
weggeben-vb	remove (AT); give
anflehen-vb	beg
besiegeln-vb	seal
verfangen-vbr	get caught
durchlassen-vb	let through, transmit
entbinden-vb	release
bekleiden-vb	dress
ertraumen-vbr	picture
freisetzen-vb	release
durchschlagen-vb; vbr	smash; fend for
frisieren-vb	fudge (coll)
zusammenpassen-vb	fit together
entsorgen-vb	dispose of
losmachen-vb; vbr	release; groove
assistieren-vb	assist
verrichten-vb	achieve, perform
abschutteln-vb	shake (off)
abraumen-vb	clear
zerschneiden-vb	cut
unterlassen-vb; N	refrain from; failure
stricken-vb	knit
dehnen-vb	stretch
applaudieren-vb	applaud
genesen-vb	recuperate
spekulieren-vb	speculate
widerrufen-vb	revoke
bekmmern-vb	worry
verwischen-vb	blur
verkriechen-vbr	hide
anbinden-vb	tie
prophezeien-vb	predict
Obertreten-vb	violate, cross
schiefgehen-vb	go wrong
exekutieren-vb	execute
weiterlaufen-vb	continue
konkurrieren-vb	compete
reinschauen-vb	stop by (coll)
schmucken-vb	decorate
zusammenbringen-vb	collect, get together
labern-vb	babble (coll)
n iederlassen-vb; vbr	lower; settle
meIken-vb	milk
verspuren-vb	feel
enthaupten-vb	behead
geleiten-vb	escort
einrosten-vb	rust
postieren-vb	post
kodern-vb	lure
kandidieren-vb	run for a post
einteilen-vb	divide up, split up
rekrutieren-vb	recruit
schopfen-vb	draw
nachlassen-vb	ease
entziffern-vb	decipher
wegpusten-vb	blow away (coll)
quaken-vb	quack
entschadigen-vb	compensate
nahren-vb	nourish, feed
stapeln-vb	pile (up)
verschlimmern-vb	worsen
demolieren-vb	demolish
anschaffen-vb	purchase
ausraumen-vb	clear
schanden-vb	defile
knabbern-vb	nibble
gluhen-vb	glow
ausarbeiten-vb	elaborate, draw up
horten-vb	hoard
zappeln-vb	fidget
verpfuschen-vb	mess up (coll)
durchkammen-vb	comb
Oberkommen-vb	overcome
kribbeln-vb; N	tingle
kopfen-vb	behead
vernaschen-vb	eat up (coll)
ausbringen-vb	apply, *propose
Aal-M	eel
abbezahlen-vb	pay off
abblasen-vb	call off (coll)
abbringen-vb	dissuade
abstatten-vb	pay
abstechen-vb	stab
Abstecher-M	detour, trip
abstoßen-vb	repel, eject
abtauchen-vb	disappear
abtreiben-vb	have an abortion
abtrocknen-vb	dry
abtrünnig-adj	rogue
Abweichung-F	deviation
abfackeln-vb	torch
abweisend-adj;	dismissive; dismissively
abfallen-vb	fall off, decrease
Abführmittel-N	laxative
abgelegen-adj	remote, isolated
abwimmeln-vb	put off (coll)
abgewöhnen-vb	break loose of, give up
ableben-vb; N	die (fml); demise (fml)
Administration-F	administration
ablesen-vb	read
Admiralität-F	Admiralty
abmurksen-vb	kill (coll)
abnutzen-vb	wear out
Affentheater-N	charade
abrasieren-vb	shave off
abraten-vb	advise against
abrechnen-vb	invoice, settle
Aktivierung-F	activation
Abreibung-vb	beating (coll)
alarmieren-vb	alert
abrücken-vb	move away
abrupt-adj; adv	abrupt; abruptly
Allee-F	avenue, alley
absägen-vb	saw off
Alleinsein-N	loneliness
absaugen-vb; N	exhaust; exhausting
alleinstehend-adj	single, isolated
abschaffen-vb	abolish, remove
allergrößte-adj	utmost, greatest
abschieben-vb	deport
allerwichtigste-adj	most important
Abschlag-M	deduction, discount
Allgemeinheit-F	general public
allzeit-adv	always
alsbald-adv	immediately
Abschrift-F	transcript
absorbieren-vb	absorb
Absperrung-F	barrier
Absprache-F	arrangement
absprechen-vb	deny, arrange
Altenheim-N	nursing home
official; officially Amulett-N	amulet
Analytiker-M	analyst
Anarchist-M	anarchist
Anbeginn-M	inception (fml)
anbrennen-vb	burn
Anbruch-M	dawn
andauern-vb	last
andocken-vb	dock
andrehen-vb	turn on
anfällig-adj	prone, vulnerable
anfeuern-vb; N	root for; rooting for
anfreunden-vbr	become friends
Anstandsdame-F	chaperone
anstößig-adj; adv	offensive; offensively
Anstoß-M	impetus
anstreben-vb	strive for, seek for
Ansturm-M	rush
antreffen-vb	find, meet
Anus-M	anus
anvisieren-vb	target, plan
Anwaltskanzlei-F	law firm
anzetteln-vb	instigate (coll)
Apartment-N	apartment
Apfelsaft-M	apple juice, cider
appellieren-vb	appeal
Archäologe-M	archaeologist
Areal-N	area
Argentinier-M	Argentinean
Ärgernis-N	nuisance
Arier-M	Aryan
Armaturenbrett-N	dashboard
Armenhaus-N	poorhouse
Asphalt-M	asphalt
anzweifeln-vb	doubt
angehören-vb	associate, belong
Angelrute-F	fishing rod
angewidert-adj;	disgusted; in disgust
Ankläger-M	prosecutor, accuser
anlächeln-vb	smile at
anlassen-vb; N	start; tempering
anlaufen-vb	accumulate, start
anlocken-vb	attract
anmutig-adj; adv	graceful; gracefully
annähen-vb	sew on
annehmbar-adj;	reasonable; reasonably
atomar-adj	nuclear
attackieren-vb	attack
Attest-N	certificate
aufblasen-vb	inflate
auferlegen-vb	impose, inflict
Auffahrt-F	driveway
auffangen-vb	catch, absorb
Aufforderung-F	request, invitation
auffrischen-vb	refresh
auffüllen-vb	fill (up), replenish
aufgabeln-vb; N	pick up (coll); picking up
Aufgebot-N	posse
Aufbruch-M	departure, tear
Anomalie-F	anomaly
Anprobe-F	fitting
anreden-vb	address
anreisen-vb	arrive
Ansammlung-F	collection
ansatzweise-adv	to some extent
Anschreiben-N; vb	cover letter; score
Anschrift-F	address
Anspielung-F	allusion
anspringen-vb	start
anschleichen-vbr;	sneak up; sneaking up
Aufkleber-F	sticker, label
auflesen-vb	pick up
Aufmachung-F	layout
Aufmunterung-F	encouragement
Auspuff-M	exhaust (pipe)
ausquetschen-vb	squeeze (out)
ausradieren-vb	erase
ausreiten-vb	ride out
  Aufrührer-M	rebel
ausbeuten-vb	exploit
ausbezahlen-vb	pay off
Autoradio-N	car radio
ausblasen-vb	blow out
Autoreifen-M	car tire
ausbluten-vb	bleed out
Autorennen-N	racing
ausborgen-vb	borrow (AT)
Ausbruch-M	outbreak
auschecken-vb; N	check out
ausdrucken-vb	print (out)
auserkoren-adj	predestined (fml)
Ausfall-M	failure, loss
banal-adj	banal
Bandage-F	bandage
ausfragen-vb	interrogate
Bankdirektor-M	bank director
ausfressen-vb	erode, eat up (coll)
Banknote-F	banknote
ausgestoßen-adj	outcast
Bankwesen-N	banking (industry)
barbarisch-adj;	barbaric; barbarically
Ausgrabung-F	excavation
  aufsagen-vb	recite
aufsammeln-vb	pick up
aufschließen-vb	unlock, develop
Aufschrift-F	inscription, label
aufspielen-vb	play, install
aufspießen-vb	impale
Aufstand-M	riot
auftanken-vb	refuel
auftauen-vb	thaw
aufwischen-vb	clean up
aufzählen-vb	enumerate
Augapfel-M	eyeball
Auktionator-M	auctioneer
ausbaden-vb	pay for (coll)
  Ausguck-M	lookout
Ausrottung-F	eradication
aussätzig-adj; adv	leprous; leprously
ausschlagen-vb	refuse
ausspielen-vb	display, play
ausspionieren-vb	spy on
ausspucken-vb	spit (out)
ausstechen-vb	poke out, excel
Australier-M	Australian
austreiben-vb	expel, exorcise
austreten-vb	escape, resign
austrocknen-vb; N	dry out; draining
auswechseln-vb	replace, change
Bardame-F	barmaid
Baseballspiel-N	baseball game
Basislager-N	base camp
baumeln-vb	dangle
basteln-vb	tinker, make
Aushilfe-F	auxiliary, temp
auskosten-vb	savor
ausladen-vb	unload
Auslieferung-F	delivery, extradition
Baustein-M	building block
Beatmung-F	ventilation
beaufsichtigen-vb	supervise
Belegschaft-F	staff
bemannen-vb	man
bemerkbar-adj	noticeable, perceptible
benebeln-vb	mist, befuddle
berauschen-vb	intoxicate
berechenbar-adj	predictable
bereichern-vb	enrich
bereisen-vb	visit, travel
bereitstehen-vb	be ready, stand by
bemalen-vb	paint
Beduine-M	Bedouin
bedürftig-adj; adv	needy; needily
befehligen-vb	command
Befehlsgewalt-F	authority
befriedigend-adj	satisfactory
Begebenheit-F	occurrence
begeben-vb; vbr	issue; resort, proceed
Bergung-F	recovery, salvage
Bergwerk-N	mine
begierig-adj; adv	eager; eagerly
beglücken-vb	please
besagt-adj	aforementioned
besänftigen-vb	placate
Beschaffenheit-F	nature, composition
begutachten-vb	survey, examine
Bescherung-F	mess (coll)
behaart-adj	hairy
beharren-vb; N	insist; insistence
beschmieren-vb	smear
beherbergen-vb	host, accommodate
beige-adj	beige
Beschuss-M	bombardment
Beinarbeit-F	footwork
beiwohnen-vb	attend (fml)
bekanntlich-adv	as you know
Beschwörung-F	incantation
Beseitigung-F	disposal
besinnen-vbr	reflect
Besitzurkunde-F	deed
bekehren-vb	convert
Besorgung-F	errand
bekifft-adj	stoned (coll)
bekriegen-vb	war
belauschen-vb	overhear, eavesdrop
Bestattung-F	funeral
Bestrahlung-F	irridation
bestreben-vb; N	endeavor
Bestseller-M	bestseller
bestücken-vb	equip, arm
besudeln-vb	sully
betätigen-vb	operate, press
Betäubung-F	anesthesia
betören-vb	infatuate (fml)
bloßstellen-vb	expose
blubbern-vb	bubble (coll)
Bohne-F	bean
Bombardement-N	bombing
boshaft-adj	vicious
Boutique-F	boutique
boykottieren-vb	boycott
brandmarken-vb	denounce
Brandstifter-M	arsonist
Brandung-F	surf
brauchbar-adj	suitable
Brauch-M	custom
Bräune-F	tan
Brautpaar-N	newlyweds
Brennholz-N	firewood
Brennstoff-M	fuel
Briefkasten-M	mailbox
brodeln-vb	bubble
Broschüre-F	brochure
Bruchlandung-F	crash landing
Brunch-M	brunch
bücken-vb	bend over
buddeln-vb	dig (coll)
Bügel-M	shackle
Busch-M	bush
Bußgeld-N	fine
Cabaret-N	cabaret (AT)
Campingplatz-M	campsite
chic-adj; adv	chic
Chloroform-N	chloroform
Cholesterin-N	cholesterol
Chorgesang-M	choral singing
chronisch-adj; adv	chronic; chronically
Clique-F	gang
Comeback-N	comeback
betrauen-vb	entrust
Betrug-M	fraud
Bettlaken-N	(bed) sheet
Bettwäsche-F	bedding
Beunruhigung-F	concern, worry
beurlauben-vb	take a leave of absence
bewähren-vb	prove oneself
Bewässerung-F	irrigation
bewegend-adj;	touching; movingly
bezichtigen-vb	accuse
Bienenstock-M	hive
bildlich-adj; adv	figurative; figuratively
Billion-F; nu	trillion
bisweilen-adv	sometimes (fml)
Blazer-M	blazer
blinken-vb	flash, blink
blinzeln-vb	blink
dirigieren-vb	conduct
Dissertation-F	dissertation
Dampfer-M	steamer
Dämpfer-M	cushion, damper
Diva-F	diva
Doktorarbeit-F	doctoral thesis
Doktortitel-M	doctorate
Däne-M	Dane
dänisch-adj; N	Danish
