Word,Definitions
festhalten,"festhalten (class 7 strong, third-person singular present hält fest, past tense hielt fest, past participle festgehalten, auxiliary haben); to hold; to adhere; to retain; to record; to capture; to detain"
sicherlich,sicherlich; certainly
geraten,"geraten (class 7 strong, third-person singular present gerät, past tense geriet, past participle geraten, auxiliary sein); (intransitive) to turn out, succeed; (intransitive) to thrive; (intransitive, with “an ...” or “auf ...” and an accusative noun) to come (across, by); to fall (upon); (intransitive, with “in ...” or “unter ...” and a state or condition in the accusative) to get (into); to fall (into); to come (to); to fly (into)"
Haut,"Haut f (genitive Haut, plural Häute, diminutive Häutchen n or Häutlein n); skin, hide of a person, animal or (part of a) plant; (by extension, metonymically) a creature, especially a person; skin (membrane found on the surface of an object, like a sausage)"
Glas,"Glas n (strong, genitive Glases, plural Gläser or Glas, diminutive Gläschen n or Gläslein n); (material) glass; (container) glass; (container) jar (made of glass); (amount of liquid) glass"
begründen,"begründen (weak, third-person singular present begründet, past tense begründete, past participle begründet, auxiliary haben); to make an argument for something, to justify, to give a reason; to establish, to found"
Maschine,"Maschine f (genitive Maschine, plural Maschinen); machine; engine; (slightly informal) airplane; (colloquial) motorcycle"
Nummer,"Nummer f (genitive Nummer, plural Nummern, diminutive Nümmerchen n); number; see usage notes below; issue (of a magazine, etc.); (slightly informal) size (of shoes or clothes); (informal) song; composition; act; stunt; shtick; (colloquial) character (idiosyncratic person); (slang) sex; an instance of sexual intercourse"
vorbereiten,"vorbereiten (weak, third-person singular present bereitet vor, past tense bereitete vor, past participle vorbereitet, auxiliary haben); (transitive) to prepare; (reflexive, with auf + accusative) to prepare, to get ready (auf for)"
Finger,"Finger m (strong, genitive Fingers, plural Finger, diminutive Fingerchen n or Fingerlein n); finger"
wiederholen,"wiederholen (weak, third-person singular present wiederholt, past tense wiederholte, past participle wiederholt, auxiliary haben); (transitive or intransitive) to repeat (to do or say again); (transitive or intransitive) to recapitulate (to summarize or repeat in concise form); (transitive or intransitive) to revise, review, study (look over again (something previously written or learned)); (transitive or intransitive) to play again, replay (to perform in (a sport) or participate in (a game) again); (transitive) to retake (to take or do (an exam, penalty shot, etc.) again; to photograph or film again); (reflexive) to repeat oneself (to say again what one has said); (reflexive) to recur, repeat itself (to happen again)"
verantwortlich,"verantwortlich (strong nominative masculine singular verantwortlicher, comparative verantwortlicher, superlative am verantwortlichsten); responsible; answerable"
Russisch,"Russisch n (proper noun, language name, genitive Russisch or Russischs, alternative nominative (used with the definite article) Russische, alternative genitive Russischen, no plural); Russian (language)"
Titel,"Titel m (strong, genitive Titels, plural Titel); title"
russisch,"russisch (strong nominative masculine singular russischer, comparative russischer, superlative am russischsten); (relational) Russian"
Roman,"Roman m (strong, genitive Romanes or Romans, plural Romane); (literature) novel"
Hund,"Hund m (strong, genitive Hundes or Hunds, plural Hunde or (regionally) Hünde, diminutive Hündchen n or Hündlein n or Hundchen n, masculine (for the animal) Rüde, feminine (for the animal) Hündin or Petze or Zaupe or Zibbe); dog, hound; (derogatory) scoundrel; dog (mean or morally reprehensible person); A board with casters used to transport heavy objects."
draußen,draußen; outside; out there
Sicht,"Sicht f (genitive Sicht, plural Sichten); view; sight; visibility; point of view, aspect"
Ausdruck,"Ausdruck m (strong, genitive Ausdruckes or Ausdrucks, plural Ausdrücke); expression, term; diction; expression, manifestation; (uncountable) manner"
Politiker,"Politiker m (strong, genitive Politikers, plural Politiker, feminine Politikerin); politician"
vielmehr,vielmehr; rather
Theorie,"Theorie f (genitive Theorie, plural Theorien); theory"
Team,"Team n (strong, genitive Teams, plural Teams); (sports) team; (work) team"
Umwelt,"Umwelt f (genitive Umwelt, plural Umwelten); environment; milieu; surroundings; (biology, ecology) environment; ecosystem"
Verein,"Verein m (strong, genitive Vereines or Vereins, plural Vereine); association, club, society"
Freundin,"Freundin f (genitive Freundin, plural Freundinnen, masculine Freund); female equivalent of Freund"
Haushalt,"Haushalt m (strong, genitive Haushaltes or Haushalts, plural Haushalte); household (collectively, all the persons who live in a given home); (finance, politics) budget (itemized summary of intended expenditure and expected revenue); housework (domestic chores); (biology) balance (between the production and consumption of a biochemical)"
schützen,"schützen (weak, third-person singular present schützt, past tense schützte, past participle geschützt, auxiliary haben); (transitive) to defend; to protect; to shelter; to guard; (transitive) to cover; (reflexive) to protect oneself"
stören,"stören (weak, third-person singular present stört, past tense störte, past participle gestört, auxiliary haben); to disturb, to interfere, to bother"
Dienstag,"Dienstag m (strong, genitive Dienstages or Dienstags, plural Dienstage); Tuesday"
typisch,"typisch (strong nominative masculine singular typischer, comparative typischer, superlative am typischsten); typical"
Material,"Material n (strong, genitive Materials, plural Materialien); material (matter)"
Tatsache,"Tatsache f (genitive Tatsache, plural Tatsachen); fact (a true observation)"
Wagen,"Wagen m (strong, genitive Wagens, plural Wagen or Wägen, diminutive Wägelchen n); a wheeled vehicle for transporting anything; (astronomy) Dipper: either the Großer Wagen (“Ursa Major”) or Kleiner Wagen (“Ursa Minor”)"
Unterstützung,"Unterstützung f (genitive Unterstützung, plural Unterstützungen); (chiefly in the singular) support, assistance, backing, also endorsement; that which supports, particularly:; (sports) assist"
Schulter,"Schulter f (genitive Schulter, plural Schultern); shoulder"
berücksichtigen,"berücksichtigen (weak, third-person singular present berücksichtigt, past tense berücksichtigte, past participle berücksichtigt, auxiliary haben); to consider, regard, take into account or consideration"
bislang,"bislang; so far, until now"
zuständig,"zuständig (strong nominative masculine singular zuständiger, not comparable); competent, cognizant (having jurisdiction or authority over a particular issue or question); responsible, in charge (having the responsibility of leading or overseeing); in charge, entrusted, authorized (having been entrusted or authorized to do a certain task)"
erheblich,"erheblich (strong nominative masculine singular erheblicher, not comparable); considerable, substantial, significant"
irgendwann,"irgendwann; sometime, somewhen, anytime; at some point, someday"
feiern,"feiern (weak, third-person singular present feiert, past tense feierte, past participle gefeiert, auxiliary haben); (transitive or intransitive) to celebrate; to party; applicable from the most solemn to the most revelrous forms; (transitive, colloquial, youth slang) to love; to adore"
Umgebung,"Umgebung f (genitive Umgebung, plural Umgebungen); environment (area around something), vicinity, surroundings"
Rest,"Rest m (strong, genitive Restes or Rests, plural Reste, diminutive Restchen n); rest, remainder, remnant; (chemistry) radical"
Produktion,"Produktion f (genitive Produktion, plural Produktionen); production"
Sorge,"Sorge f (genitive Sorge, plural Sorgen, diminutive Sörgelchen n or Sörglein n); concern, care, responsibility, aid; concern, worry, apprehension, trouble, distress"
Soldat,"Soldat m (weak, genitive Soldaten, plural Soldaten, feminine Soldatin); soldier"
vermitteln,"vermitteln (weak, third-person singular present vermittelt, past tense vermittelte, past participle vermittelt, auxiliary haben); to mediate; to convey; to broker, to supply, to provide"
Fernsehen,"Fernsehen n (strong, genitive Fernsehens, no plural); television"
okay,okay; OK
ernst,"ernst (strong nominative masculine singular ernster, comparative ernster, superlative am ernstesten); serious, severe, grave"
Ruhe,"Ruhe f (genitive Ruhe, no plural); calm, relative quietness (absence of loud sounds); calmness, serenity; rest, repose"
Volk,"Volk n (strong, genitive Volkes or Volks, plural Völker, diminutive Völkchen n or Völklein n); (collective) people, nation, folk, tribe, race (group united by culture, history, descent, and/or language); people, population, citizens; (possibly dated) common people, the lower classes, the working classes; folk, crowd (large group of people gathered somewhere); (biology) herd, covey, swarm, colony; chiefly of insects"
Zeichen,"Zeichen n (strong, genitive Zeichens, plural Zeichen, diminutive Zeichlein n or Zeichelchen n); sign, token; sign, mark; (typography) character; (religion) sign, miracle, prodigy"
Schaden,"Schaden m (strong, genitive Schadens, plural Schäden); damage; harm; (colloquial, informal) mental problem (in the sense of “crazy”)"
zufrieden,"zufrieden (strong nominative masculine singular zufriedener, comparative zufriedener, superlative am zufriedensten); content, satisfied"
behaupten,"behaupten (weak, third-person singular present behauptet, past tense behauptete, past participle behauptet, auxiliary haben); to claim, maintain, assert; (reflexive) to stand one's ground"
herrschen,"herrschen (weak, third-person singular present herrscht, past tense herrschte, past participle geherrscht, auxiliary haben); to rule, to reign, to have dominion; to prevail, to dominate"
Mittwoch,"Mittwoch m (strong, genitive Mittwochs or (rare) Mittwoches, plural Mittwoche); Wednesday"
Energie,"Energie f (genitive Energie, plural Energien); energy"
Zweck,"Zweck m (strong, genitive Zweckes or Zwecks, plural Zwecke); purpose; point Was ist der Zweck? Es ist jetzt zu Ende."
Angriff,"Angriff m (strong, genitive Angriffes or Angriffs, plural Angriffe); attack, offensive, strike, assault, onslaught, raid, offence"
Grad,"Grad m (strong, genitive Grades or Grads, plural Grade or Grad); degree"
schieben,"schieben (class 2 strong, third-person singular present schiebt, past tense schob, past participle geschoben, past subjunctive schöbe, auxiliary haben); (transitive) to push; to shove; (transitive) to slide; to slip; to put; (intransitive) to push; (transitive or intransitive, colloquial) to traffic (something); to profiteer; to racketeer"
funktionieren,"funktionieren (weak, third-person singular present funktioniert, past tense funktionierte, past participle funktioniert, auxiliary haben); (of a device) to work, function; (of a plan etc.) to work, work out"
Öffentlichkeit,"Öffentlichkeit f (genitive Öffentlichkeit, no plural); public; publicity"
gründen,"gründen (weak, third-person singular present gründet, past tense gründete, past participle gegründet, auxiliary haben); to build; to establish; to found; to institute; to plant"
Schutz,"Schutz m (strong, genitive Schutzes, plural Schutze or (rare, Switzerland) Schütze); (uncountable) protection; (countable) protective installation"
ausschließen,"ausschließen (class 2 strong, third-person singular present schließt aus, past tense schloss aus, past participle ausgeschlossen, past subjunctive schlösse aus, auxiliary haben); to exclude, to debar;; to rule out; (reflexive) to lock out oneself"
erheben,"erheben (class 6 strong, third-person singular present erhebt, past tense erhob or (archaic) erhub, past participle erhoben, past subjunctive erhöbe or (archaic) erhübe, auxiliary haben); (transitive) to raise, lift (one's arm, voice, glass, etc.); to levy, charge; to gather, collect (e.g. data, material); to bring (charges); (reflexive) to rise (to one's feet, from one's seat, etc.); (reflexive) to rise (e.g. of a mountain or tower); (reflexive) to rise up; (reflexive) to feel superior"
Anteil,"Anteil m (strong, genitive Anteils or Anteiles, plural Anteile); share, portion"
Job,"Job m (strong, genitive Jobs, plural Jobs) (chiefly informal); job, position, employment; job, work, profession; job, task, assignment"
Besuch,"Besuch m (strong, genitive Besuches or Besuchs, plural Besuche); visit, call [from the 17th century]; (in the singular) visitor or visitors [from the 18th century]"
Wind,"Wind m (strong, genitive Windes or Winds, plural Winde, diminutive Windchen n); wind; the movement of air usually caused by convection or differences of air pressure"
Antrag,"Antrag m (strong, genitive Antrages or Antrags, plural Anträge); application, request; motion, proposition, petition; (dated) proposal of marriage"
Erklärung,"Erklärung f (genitive Erklärung, plural Erklärungen); explanation; declaration, statement"
der,der (definite); the
übrigens,"übrigens; (archaic) apart from that, else, for the rest, for everything else; (informal) by the way"
diskutieren,"diskutieren (weak, third-person singular present diskutiert, past tense diskutierte, past participle diskutiert, auxiliary haben); to discuss"
Beschäftigte,"Beschäftigte f (adjectival, definite nominative die Beschäftigte, genitive Beschäftigter, definite genitive der Beschäftigten, plural Beschäftigte, definite plural die Beschäftigten, masculine Beschäftigter); female equivalent of Beschäftigter: female employee"
Laufe,Laufe; (archaic) dative singular of Lauf
Unterricht,"Unterricht m (strong, genitive Unterrichtes or Unterrichts, plural Unterrichte); (chiefly uncountable) lesson, class, instruction, education"
Amt,"Amt n (strong, genitive Amtes or Amts, plural Ämter); agency; department; office (state institution responsible for specified concerns); office; post (public function, e.g. of a civil servant); (Roman Catholicism, chiefly in compounds) mass; office; (now Switzerland, Germany historical) administrative unit (of a country); district"
auftauchen,"auftauchen (weak, third-person singular present taucht auf, past tense tauchte auf, past participle aufgetaucht, auxiliary sein); (intransitive) to come up (of a subject or name in conversation, a difficulty in a project, etc.); (intransitive) to turn up, to appear (in media, at some location, in some period of time, among a group of similar things, etc.); (intransitive) to surface (from underwater)"
anwenden,"anwenden (irregular weak or weak, third-person singular present wendet an, past tense wandte an or wendete an, past participle angewandt or angewendet, auxiliary haben); to use, apply, utilize or deploy (to put to use for a purpose)"
verfolgen,"verfolgen (weak, third-person singular present verfolgt, past tense verfolgte, past participle verfolgt, auxiliary haben); (transitive) to pursue, to follow, to hunt; to persecute; to trace; to haunt"
Gang,"Gang m (strong, genitive Ganges or Gangs, plural Gänge); motion, movement, progress, way, going; gait, way (somebody walks), an instance of walking; course (of events); hallway, corridor; gear (machinery), level (of intensity), notch; (with in) in gear, progressing, working, going; (of a meal) course"
beeinflussen,"beeinflussen (weak, third-person singular present beeinflusst, past tense beeinflusste, past participle beeinflusst, auxiliary haben); to influence"
Behandlung,"Behandlung f (genitive Behandlung, plural Behandlungen); (medical, physical, or psychological) treatment"
Feld,"Feld n (strong, genitive Feldes or Felds, plural Felder, diminutive Feldchen n); field (plot of open land, especially one used to grow crops); area where action, often competitional, takes place; field, a domain of work, knowledge, study; a defined area where something is put in, where information is supplied"
außerhalb,"außerhalb (followed by genitive); (spatial) outside (of), beyond; (temporal) outside"
Einrichtung,"Einrichtung f (genitive Einrichtung, plural Einrichtungen); facility, institution; constitution, installation, establishment; furnishing, furniture"
Lauf,"Lauf m (strong, genitive Laufes or Laufs, plural Läufe); (sports) run, race; (hunting jargon) leg of certain animals; (firearms, of a gun) barrel; course (onward movement); (figurative, uncountable) course, way"
krank,"krank (strong nominative masculine singular kranker, comparative (in the literal sense) kränker or (figuratively) kranker, superlative (in the literal sense) am kränksten or am kränkesten or (figuratively) am kranksten or am krankesten); ill, sick (in bad health); (figurative) sick, morally or mentally degenerate; (slang) very interesting or unusual (in the positive or negative); sick"
dick,"dick (strong nominative masculine singular dicker, comparative dicker, superlative am dicksten); thick; fat"
Zentrum,"Zentrum n (strong, genitive Zentrums, plural Zentren); center, centre; central point; (politics) the centre, the moderate political parties; (politics) the Centre Party, a Catholic political party in pre-war Germany; (mathematics) the centre of a group, ring, Lie algebra, etc.; (chess) the spaces d4, d5, e4, e5 on a chessboard"
ablehnen,"ablehnen (weak, third-person singular present lehnt ab, past tense lehnte ab, past participle abgelehnt, auxiliary haben); to decline, refuse, reject, turn down"
Anschlag,"Anschlag m (strong, genitive Anschlages or Anschlags, plural Anschläge); attempt, attack; poster, notice, bulletin (printed or written note hanging on the wall, a pinboard etc.)"
einfallen,"einfallen (class 7 strong, third-person singular present fällt ein, past tense fiel ein, past participle eingefallen, auxiliary sein); (with dative) to occur (to somebody), to come (to somebody); to come to mind; (with dative) to remember; (intransitive, with in + accusative) to invade"
warm,"warm (strong nominative masculine singular warmer, comparative wärmer, superlative am wärmsten); warm; mildly hot; (of clothes) warm; keeping the wearer warm; (of rental prices, chiefly adverbial or in compounds) including heating costs, water, and fees (electricity may or may not be included); (dated, except in warmer Bruder) gay, homosexual (mostly male)"
Ausland,"Ausland n (strong, genitive Auslandes or Auslands, no plural); foreign countries (collectively)"
zurückkommen,"zurückkommen (class 4 strong, third-person singular present kommt zurück, past tense kam zurück, past participle zurückgekommen, past subjunctive käme zurück, auxiliary sein); to return (to come back)"
zwingen,"zwingen (class 3 strong, third-person singular present zwingt, past tense zwang, past participle gezwungen, past subjunctive zwänge, auxiliary haben); (transitive or reflexive) to force; to compel; to make (someone do something); (intransitive, with ""zu ..."") to necessitate; to call for"
fördern,"fördern (weak, third-person singular present fördert, past tense förderte, past participle gefördert, auxiliary haben); (transitive) to further, to foster; (transitive) to support; (transitive) to advance; (transitive) to encourage; (transitive) to mine"
existieren,"existieren (weak, third-person singular present existiert, past tense existierte, past participle existiert, auxiliary haben); to exist"
entfernen,"entfernen (weak, third-person singular present entfernt, past tense entfernte, past participle entfernt, auxiliary haben); (transitive) to remove; (reflexive) to gradually move away; to recede; to retreat; to diverge; (reflexive) to stray; to deviate; to depart (from a group, a route, etc.); (reflexive, military or related context) to desert; to go absent; to leave without permission; (reflexive, formal) to leave a place; to remove oneself"
traditionell,"traditionell (strong nominative masculine singular traditioneller, comparative traditioneller, superlative am traditionellsten); traditional"
wenden,"wenden (weak or irregular weak, third-person singular present wendet, past tense wendete or wandte, past participle gewendet or gewandt, auxiliary haben); (transitive) to turn something so as to cook or roast it from both sides; (transitive, chiefly literary) to turn something (in general); (transitive, literary, dated) to avert; to curb; (intransitive) to make a u-turn; to turn around one’s car or vehicle; (reflexive, chiefly literary) to turn around; (reflexive) to turn to; to consult [+ an (accusative)]"
Faktor,"Faktor m (mixed, genitive Faktors, plural Faktoren); factor (integral part); (mathematics) factor"
empfinden,"empfinden (class 3 strong, third-person singular present empfindet, past tense empfand, past participle empfunden, past subjunctive empfände, auxiliary haben); to feel; to sense; to perceive something through the sense organs."
Erkenntnis,"Erkenntnis f (genitive Erkenntnis, plural Erkenntnisse); realization, recognition, insight, perception"
fassen,"fassen (weak, third-person singular present fasst or (nonstandard) fässt, past tense fasste, past participle gefasst, auxiliary haben); to gird, to surround, to confine into a form; to grasp, to catch; to seize, to capture; (reflexive) to compose oneself (to calm, to free from agitation); (intransitive, usually negative) to accept, to believe (a misfortune)"
Spur,"Spur f (genitive Spur, plural Spuren); trace (rest of something that indicates its former presence; (by extension) any small amount); trail, track, spoor (path of signs leading somewhere, also e.g. through scent); lead, clue (evidence pointing to a solution); lane (of a street, road); (music) track; (mathematics) trace (sum of the diagonal elements of a square matrix)"
Hotel,"Hotel n (strong, genitive Hotels, plural Hotels); hotel"
ansprechen,"ansprechen (class 4 strong, third-person singular present spricht an, past tense sprach an, past participle angesprochen, past subjunctive spräche an, auxiliary haben); (transitive) to speak to; to address; (transitive) to appeal to; (transitive) to mention; (intransitive) (of a patient etc.) to respond (auf to + acc.)"
schwach,"schwach (strong nominative masculine singular schwacher, comparative schwächer, superlative am schwächsten); weak, lacking in strength; (grammar) weak"
Fehler,"Fehler m (strong, genitive Fehlers, plural Fehler); fault, error, mistake"
Publikum,"Publikum n (strong, genitive Publikums, plural Publika); (collective) audience, crowd, readership, group of people seeing/hearing a performance or work; public"
Berg,"Berg m (strong, genitive Berges or Bergs, plural Berge); a mountain, hill"
angesichts,"angesichts (takes genitive); at the sight of; in view of, in the face of"
niedrig,"niedrig (strong nominative masculine singular niedriger, comparative niedriger, superlative am niedrigsten); low"
sichern,"sichern (weak, third-person singular present sichert, past tense sicherte, past participle gesichert, auxiliary haben); to secure"
Analyse,"Analyse f (genitive Analyse, plural Analysen); analysis"
beachten,"beachten (weak, third-person singular present beachtet, past tense beachtete, past participle beachtet, auxiliary haben); to note, notice, observe; to mind, heed"
Hochschule,"Hochschule f (genitive Hochschule, plural Hochschulen); college; university; graduate school; institute; academy (educational institution for advanced studies, usually academic, but also arts, etc.)"
link,"link (strong nominative masculine singular linker, comparative linker, superlative am linkesten or am linksten); (only attributive and not comparable) left; (colloquial) untrustworthy; (colloquial) dubious, wrong, disreputable, questionable; (colloquial) sly, cunning"
Studie,"Studie f (genitive Studie, plural Studien); study"
bereit,"bereit (strong nominative masculine singular bereiter, comparative bereiter, superlative am bereitesten); (often with für (for), or auf (on, to)) ready (for, on, to)"
schneiden,"schneiden (class 1 strong, third-person singular present schneidet, past tense schnitt, past participle geschnitten, auxiliary haben); (transitive) to cut; to carve; to slice; (transitive) to pare; to clip; to mow; to prune; to trim; (transitive, driving, figurative) to cut (someone) off; to cut in on (someone); (transitive, film) to edit; (transitive or reflexive) to intersect; (reflexive) to cut (oneself); (reflexive, colloquial) to delude (oneself); to become mistaken; to avoid somebody (to cut someone)"
Vorsitzende,"Vorsitzende f (adjectival, definite nominative die Vorsitzende, genitive Vorsitzender, definite genitive der Vorsitzenden, plural Vorsitzende, definite plural die Vorsitzenden); female equivalent of Vorsitzender: chairwoman, female chairperson, female chair, board chairwoman; female president"
Freizeit,"Freizeit f (genitive Freizeit, plural Freizeiten) (Abbreviation: Frzt.); free time, leisure time, spare time. The time during which one is not working."
Partner,"Partner m (strong, genitive Partners, plural Partner, feminine Partnerin); partner, associate (male or of unspecified gender)"
Freiheit,"Freiheit f (genitive Freiheit, plural Freiheiten); freedom; liberty; clearance"
sowieso,"sowieso; anyway, anyhow, in any case"
Kritik,"Kritik f (genitive Kritik, plural Kritiken); criticism (negative judgement); criticism, review (general judgement); critique, review (review of a work of art)"
kümmern,"kümmern (weak, third-person singular present kümmert, past tense kümmerte, past participle gekümmert, auxiliary haben); (reflexive) to take care, to look after [+ um (object) = of]; (transitive) to grieve, to afflict, to trouble, to concern"
See,"See m (mixed, genitive Sees, plural Seen); lake"
informieren,"informieren (weak, third-person singular present informiert, past tense informierte, past participle informiert, auxiliary haben); (transitive) to inform, to update [+ über (object) = of/about]; (reflexive) to read up on, to find out, to research, to look into, (rare) to inform oneself"
anschließend,"anschließend (strong nominative masculine singular anschließender, not comparable); following; adjoining"
sinken,"sinken (class 3 strong, third-person singular present sinkt, past tense sank, past participle gesunken, past subjunctive sänke, auxiliary sein); (intransitive) to sink; to submerge; to set; to fall from the sky; (intransitive, figurative, of prices, temperature, quantities, rates, etc.) to fall; to drop; to decline"
ankündigen,"ankündigen (weak, third-person singular present kündigt an, past tense kündigte an, past participle angekündigt, auxiliary haben); to announce; to herald"
aufstehen,"aufstehen (irregular strong, third-person singular present steht auf, past tense stand auf, past participle aufgestanden, past subjunctive stände auf or stünde auf, auxiliary haben or sein); (intransitive) to get up (move from a sitting or lying position to a standing position; to get up from bed) [auxiliary sein]; (intransitive, high-style, archaic) to rise up, to rebel [auxiliary sein]; (colloquial) to rest (on something) [auxiliary haben or sein]; (intransitive, colloquial, of windows, doors, etc.) to be open (to not be closed or shut) [auxiliary haben or sein]"
negativ,"negativ (strong nominative masculine singular negativer, comparative negativer, superlative am negativsten); negative (undesirable); negative, negatory; negative (less than zero); negative (producing no evidence); negative, pessimistic, not fun-loving"
per,"per (+ accusative or dative); per, via, by, in acccordance with"
prägen,"prägen (weak, third-person singular present prägt, past tense prägte, past participle geprägt, auxiliary haben); to mint; to shape; to characterize"
GmbH,"GmbH f (genitive GmbH, plural GmbHs, and GmbHen); Initialism of Gesellschaft mit beschränkter Haftung."
organisieren,"organisieren (weak, third-person singular present organisiert, past tense organisierte, past participle organisiert, auxiliary haben); to organize"
nicken,"nicken (weak, third-person singular present nickt, past tense nickte, past participle genickt, auxiliary haben); (intransitive) to nod (one's head)"
Typ,"Typ m (mixed, genitive Typs, plural Typen); type"
See,"See m (mixed, genitive Sees, plural Seen); lake"
vermeiden,"vermeiden (class 1 strong, third-person singular present vermeidet, past tense vermied, past participle vermieden, auxiliary haben); (transitive) to avoid (something happening, doing something)"
leise,"leise (strong nominative masculine singular leiser, comparative leiser, superlative am leisesten); quiet, soft, low; slight, faint, light"
gesetzlich,"gesetzlich (strong nominative masculine singular gesetzlicher, not comparable); lawful, legal, legitimate"
Gegend,"Gegend f (genitive Gegend, plural Gegenden); area, region"
Ereignis,"Ereignis n (strong, genitive Ereignisses, plural Ereignisse); event (occurrence of social or personal importance)"
Arbeitsplatz,"Arbeitsplatz m (strong, genitive Arbeitsplatzes, plural Arbeitsplätze); workplace; place of employment; employment, job, position"
Objekt,"Objekt n (strong, genitive Objektes or Objekts, plural Objekte); object; building, property, real estate"
Sprecher,"Sprecher m (strong, genitive Sprechers, plural Sprecher, feminine Sprecherin); a speaker; one who speaks (male or unspecified sex); especially:"
österreichisch,"österreichisch (strong nominative masculine singular österreichischer, comparative österreichischer, superlative am österreichischsten); (relational) Austrian"
Verantwortung,"Verantwortung f (genitive Verantwortung, plural Verantwortungen); responsibility"
verletzen,"verletzen (weak, third-person singular present verletzt, past tense verletzte, past participle verletzt, auxiliary haben); (transitive) to hurt, to injure; to violate (rules, laws, etc.)"
Fähigkeit,"Fähigkeit f (genitive Fähigkeit, plural Fähigkeiten); ability, capability"
beruflich,"beruflich (strong nominative masculine singular beruflicher, not comparable); professional"
heraus,heraus; out of (in the direction of the speaker); out over here; out from there
empfehlen,"empfehlen (class 4 strong, third-person singular present empfiehlt, past tense empfahl, past participle empfohlen, past subjunctive empfähle or empföhle, auxiliary haben); to propose, to advise in favor of; (transitive) to commend; (ditransitive, with accusative and dative case, formal) to entrust (someone or something) to (something); (reflexive, dated, formal) to take one's leave"
Aufnahme,"Aufnahme f (genitive Aufnahme, plural Aufnahmen); reception; (photography) photo; recording; admission (to a school), acceptance (as a member of club, or organization)"
beschränken,"beschränken (weak, third-person singular present beschränkt, past tense beschränkte, past participle beschränkt, auxiliary haben); (transitive, with auf + accusative) to limit; to restrict; (reflexive, with auf + accusative) to limit oneself (to)"
verstärken,"verstärken (weak, third-person singular present verstärkt, past tense verstärkte, past participle verstärkt, auxiliary haben); to reinforce; to amplify; to penetrate; (reflexive) to grow stronger"
Kontrolle,"Kontrolle f (genitive Kontrolle, plural Kontrollen); inspection; control"
Opfer,"Opfer n (strong, genitive Opfers, plural Opfer, diminutive Öpferchen n); sacrifice; victim; (offensive slang) wimp (someone weak or dependent; one who cannot stand up for themself) [from 2000s]"
Wahrheit,"Wahrheit f (genitive Wahrheit, plural Wahrheiten); truth"
Urlaub,"Urlaub m (strong, genitive Urlaubes or Urlaubs, plural Urlaube); holiday, vacation; (dated) leave"
einladen,"einladen (class 6 strong, third-person singular present lädt ein, past tense lud ein, past participle eingeladen, past subjunctive lüde ein, auxiliary haben); to invite; (transitive) to treat (to food or drink, especially at one's own expense) [+ auf (object)]"
einerseits,einerseits; on the one hand
glücklich,"glücklich (strong nominative masculine singular glücklicher, comparative glücklicher, superlative am glücklichsten); (of living beings) happy; both momentarily and generally in life; (of events) lucky; fortunate"
vorsehen,"vorsehen (class 5 strong, third-person singular present sieht vor, past tense sah vor, past participle vorgesehen, past subjunctive sähe vor, auxiliary haben); to look (out) from behind something; to plan, to have in mind; to schedule, to set aside; (reflexive) to be careful, to watch out; (reflexive) to supply oneself"
Gebäude,"Gebäude n (strong, genitive Gebäudes, plural Gebäude); building, edifice, structure"
eröffnen,"eröffnen (weak, third-person singular present eröffnet, past tense eröffnete, past participle eröffnet, auxiliary haben); (intransitive) to open (to the public); (transitive, intransitive) to open (also figuratively) thus far as to become accessible or available, to open up"
begreifen,"begreifen (class 1 strong, third-person singular present begreift, past tense begriff, past participle begriffen, auxiliary haben); (transitive) to grasp fully; to comprehend; to conceive, to fathom; (transitive, rather formal) to understand intellectually; (transitive or reflexive, rather formal) to consider (to be); to see (as)"
Karte,"Karte f (genitive Karte, plural Karten, diminutive Kärtchen n); card; map, chart; short for Speisekarte: menu; ticket; (differential geometry) coordinate chart"
Bezug,"Bezug m (strong, genitive Bezuges or Bezugs, plural Bezüge); reference; cover (e.g. of a cushion or couch); salary (of a civil servant); subscription"
Jahrzehnt,"Jahrzehnt n (strong, genitive Jahrzehntes or Jahrzehnts, plural Jahrzehnte); decade"
Prüfung,"Prüfung f (genitive Prüfung, plural Prüfungen); an official test or examination on a subject; check, examination, inspection, verification, audit, validation"
Regelung,"Regelung f (genitive Regelung, plural Regelungen); regulation; control (method of governing the performance of an apparatus)"
sozusagen,"sozusagen; so to speak, in a manner of speaking"
offiziell,"offiziell (strong nominative masculine singular offizieller, comparative offizieller, superlative am offiziellsten); official"
beschließen,"beschließen (class 2 strong, third-person singular present beschließt, past tense beschloss, past participle beschlossen, past subjunctive beschlösse, auxiliary haben); to conclude, end; to terminate; to resolve, decide, determine; (archaic) to confine, enclose; to close up"
Gesellschafter,"Gesellschafter m (strong, genitive Gesellschafters, plural Gesellschafter, feminine Gesellschafterin); business associate, partner; shareholder"
Bezug,"Bezug m (strong, genitive Bezuges or Bezugs, plural Bezüge); reference; cover (e.g. of a cushion or couch); salary (of a civil servant); subscription"
leiten,"leiten (weak, third-person singular present leitet, past tense leitete, past participle geleitet, auxiliary haben); to lead; to manage (an organization); to conduct (a liquid, electricity etc)"
Ausstellung,"Ausstellung f (genitive Ausstellung, plural Ausstellungen); exhibition"
konzentrieren,"konzentrieren (weak, third-person singular present konzentriert, past tense konzentrierte, past participle konzentriert, auxiliary haben); (reflexive, with auf + accusative) to concentrate, focus (one's mind or attention); (transitive) to concentrate (something)"
