Word,Definitions
Vergessenheit,"Vergessenheit f (genitive Vergessenheit, no plural); oblivion"
Schutzschild,"Schutzschild m or n (strong, genitive Schutzschildes or Schutzschilds, plural Schutzschilde or (less common) Schutzschilder); (defensive) shield"
Nobelpreis,"Nobelpreis m (strong, genitive Nobelpreises, plural Nobelpreise); Nobel Prize"
Meineid,"Meineid m (strong, genitive Meineides or Meineids, plural Meineide); (also law) a perjury, a deliberately false oath about something in the past; (dated) any broken oath, e.g. a vow later violated"
Telefonat,"Telefonat n (strong, genitive Telefonates or Telefonats, plural Telefonate); phone call"
Kleiderschrank,"Kleiderschrank m (strong, genitive Kleiderschrankes or Kleiderschranks, plural Kleiderschränke); wardrobe (cabinet in which clothes may be stored)"
Oberschenkel,"Oberschenkel m (strong, genitive Oberschenkels, plural Oberschenkel); thigh (upper leg); femur, thighbone"
Kohlendioxid,"Kohlendioxid n (strong, genitive Kohlendioxids, no plural); (chemistry) carbon dioxide"
Ballast,"Ballast m (strong, genitive Ballastes, plural Ballaste); (nautical or figurative) ballast"
Luftschleuse,"Luftschleuse f (genitive Luftschleuse, plural Luftschleusen); airlock"
Abschuss,"Abschuss m (strong, genitive Abschusses, plural Abschüsse); launch; firing; shootdown"
Erektion,"Erektion f (genitive Erektion, plural Erektionen); erection (rigid penis)"
Lokomotive,"Lokomotive f (genitive Lokomotive, plural Lokomotiven); (rail transport) train locomotive"
Raubtier,"Raubtier n (strong, genitive Raubtieres or Raubtiers, plural Raubtiere); predator"
Sonnenbrand,"Sonnenbrand m (strong, genitive Sonnenbrandes or Sonnenbrands, plural Sonnenbrände); (uncountable, now rare, poetic) the burning heat of the sun; (uncountable) sunburn (condition of the skin); (countable) a sunburn (instance of affliction with this condition); (uncountable, countable) sunburn, sunscald (burn on the tissue of crop plants or their fruits caused by excess exposure to the sun's rays)"
Deal,"Deal m (strong, genitive Deals, plural Deals); (informal) deal (often implying a dubious nature)"
Brut,"Brut f (genitive Brut, plural Bruten); brood; offspring, spawn"
Alge,"Alge f (genitive Alge, plural Algen); alga"
Hygiene,"Hygiene f (genitive Hygiene, no plural); hygiene"
Kot,"Kot m (strong, genitive Kotes or Kots, plural Kote or Kots, diminutive Kötchen n or Kötlein n or Kötel n); (formal) feces; (archaic) mud"
Gequatsche,"Gequatsche n (strong, genitive Gequatsches, no plural); (informal, derogatory) blather, chatter"
Fanfare,"Fanfare f (genitive Fanfare, plural Fanfaren); (flourish of trumpets or horns) fanfare"
Biographie,"Biographie f (genitive Biographie, plural Biographien); Alternative spelling of Biografie"
Frustration,"Frustration f (genitive Frustration, plural Frustrationen); frustration"
Webseite,"Webseite f (genitive Webseite, plural Webseiten); web page; (loosely, colloquial) web site"
Pforte,"Pforte f (genitive Pforte, plural Pforten, diminutive Pförtchen n); (literary) gate, large door; reception area (especially in a hospital)"
Exempel,"Exempel n (strong, genitive Exempels, plural Exempel); (dated, literary) an instructive example, often a deterrent one; a lesson; (archaic, solemn) example (item named to represent a group); (mathematics, archaic) mathematical problem"
Meute,"Meute f (genitive Meute, plural Meuten); a pack of animals, especially hunting dogs; a mob of people, especially ones who are agitated or after someone (often of paparazzi and the like)"
Tiefpunkt,"Tiefpunkt m (strong, genitive Tiefpunktes or Tiefpunkts, plural Tiefpunkte); bottom, lowest point, low point, low, trough, nadir"
Plunder,"Plunder m (mixed, genitive Plunders, plural Plundern); (uncountable) junk, rubbish; (countable) Danish pastry"
Set,Set n; place mat
Streuner,"Streuner m (strong, genitive Streuners, plural Streuner, feminine Streunerin); stray; wanderer"
Orgel,"Orgel f (genitive Orgel, plural Orgeln); (music) organ"
Ration,"Ration f (genitive Ration, plural Rationen); ration"
Menschenseele,"Menschenseele f (genitive Menschenseele, plural Menschenseelen); human soul"
Unterredung,"Unterredung f (genitive Unterredung, plural Unterredungen); discussion, interview"
Widmung,"Widmung f (genitive Widmung, plural Widmungen); dedication"
Deserteur,"Deserteur m (strong, genitive Deserteurs, plural Deserteure); deserter"
Besteck,"Besteck n (strong, genitive Besteckes or Bestecks, plural Bestecke); (collective) cutlery; (collective) silverware; (medicine) set of instruments; (nautical) position of a ship"
Abneigung,"Abneigung f (genitive Abneigung, plural Abneigungen); aversion (dislike)"
Trommelwirbel,"Trommelwirbel m (strong, genitive Trommelwirbels, plural Trommelwirbel); drumroll"
Zufluchtsort,"Zufluchtsort m (strong, genitive Zufluchtsortes or Zufluchtsorts, plural Zufluchtsorte); a shelter"
Romantiker,"Romantiker m (strong, genitive Romantikers, plural Romantiker, feminine Romantikerin); romantic, romanticist"
Macke,"Macke f (genitive Macke, plural Macken); quirk (odd behaviour of someone); defect, flaw"
Faschismus,"Faschismus m (strong, genitive Faschismus, no plural); fascism"
Foyer,"Foyer n (strong, genitive Foyers, plural Foyers); foyer, lobby"
Lava,"Lava f (genitive Lava, plural (rare) Laven); (geology) lava; (loosely) Synonym of Magma; (childish) an area (in a game of tag etc.) where the players are not allowed to go (and lose if they do)"
Schlafsack,"Schlafsack m (strong, genitive Schlafsackes or Schlafsacks, plural Schlafsäcke); sleeping bag (padded or insulated bag)"
Schauer,"Schauer m (strong, genitive Schauers, plural Schauer); (meteorology) shower (brief period of precipitation); (figurative) shower (instance of something bursting forth like a rainshower); shudder, shiver, sudden thrill"
Vorzug,"Vorzug m (strong, genitive Vorzuges or Vorzugs, plural Vorzüge); (uncountable) precedence, priority, preference; (countable) asset, merit"
Spionage,"Spionage f (genitive Spionage, no plural); espionage"
Barriere,"Barriere f (genitive Barriere, plural Barrieren); barrier"
Kapsel,"Kapsel f (genitive Kapsel, plural Kapseln); (medicine, pharmacy) capsule; pod, shell; sagger"
Paddel,"Paddel n (strong, genitive Paddels, plural Paddel); paddle"
Blickfeld,"Blickfeld n (strong, genitive Blickfelds, plural Blickfelder); field of vision"
Schwert,"Schwert n (strong, genitive Schwertes or Schwerts, plural Schwerter); sword; blade (of a chainsaw etc.); dorsal fin (of certain kinds of whales); (heraldry) sword"
Slogan,"Slogan m (strong, genitive Slogans, plural Slogans); (advertising) slogan (phrase associated with a product); (politics, less common) slogan; rallying cry"
Schlagzeuger,"Schlagzeuger m (strong, genitive Schlagzeugers, plural Schlagzeuger, feminine Schlagzeugerin); drummer, percussionist"
Kruste,"Kruste f (genitive Kruste, plural Krusten, diminutive Krüstchen n); crust; scab on a wound"
Modus,"Modus m (strong, genitive Modus, plural Modi); mode (predesigned set of states or rules); (music) mode; (grammar) mood"
Kollision,"Kollision f (genitive Kollision, plural Kollisionen); collision"
Navigator,"Navigator m (mixed, genitive Navigators, plural Navigatoren, feminine Navigatorin); (avionics, nautics) navigator"
Verzeichnis,"Verzeichnis n (strong, genitive Verzeichnisses, plural Verzeichnisse); index; (computing) directory"
Serbien,"Serbien n (proper noun, genitive Serbiens or (optionally with an article) Serbien); Serbia (a country in Southeast Europe, in the Balkans)"
Dirne,"Dirne f (genitive Dirne, plural Dirnen); (derogatory, dated, also biblical) whore (prostitute or sexually unreserved woman); (archaic or dialectal) girl; lass"
Erbe,"Erbe n (strong, genitive Erbes, no plural); inheritance; heritage; legacy; bequest (property that is bequeathed and inherited); (figurative) heritage (anything that is passed down from preceding generations, e.g. genes, values, attitudes, traditions, etc.)"
Streber,"Streber m (strong, genitive Strebers, plural Streber, feminine Streberin); streber, a river fish of Eastern Europe.; (derogatory) Someone who strives to achieve success in school; similar in usage to English nerd."
Bit,"Bit n (strong, genitive Bits, plural Bits); bit (eighth of a dollar); (mathematics, computing) bit (binary digit); (computing) bit (smallest unit of storage); (information theory, cryptography) bit (datum that may take on one of exactly two values)"
Bitterkeit,"Bitterkeit f (genitive Bitterkeit, plural Bitterkeiten); (uncountable) bitterness (the quality of having a bitter taste); (countable) bitterness, acrimony (the quality of being or feeling sad, bitter, embittered)"
Aussprache,"Aussprache f (genitive Aussprache, plural Aussprachen); pronunciation"
Faser,"Faser f (genitive Faser, plural Fasern, diminutive Fäserchen n); fibre"
Pate,"Pate m (weak, genitive Paten, plural Paten, feminine Patin) (All inflected forms are Paten.); godfather"
Phase,"Phase f (genitive Phase, plural Phasen); phase, stage, period"
Huf,"Huf m (strong or mixed, genitive Hufes or Hufs, plural Hufe or Hufen or Hüfe); hoof; (colloquial) the human foot, mostly used in phrases"
Lateinamerika,Lateinamerika n; Latin America
Tapete,"Tapete f (genitive Tapete, plural Tapeten); wallpaper (in the original sense only)"
Festplatte,"Festplatte f (genitive Festplatte, plural Festplatten); hard disk, harddisk"
Petition,"Petition f (genitive Petition, plural Petitionen); petition (formal, written request made to a parliament or an official person)"
Strophe,"Strophe f (genitive Strophe, plural Strophen); (poetry) stanza (a unit of a poem); (music) verse (a section of a song)"
Konfrontation,"Konfrontation f (genitive Konfrontation, plural Konfrontationen); confrontation (the act of confronting or challenging another, especially face-to-face)"
Herausgeber,"Herausgeber m (strong, genitive Herausgebers, plural Herausgeber, feminine Herausgeberin); editor; publisher"
Hardware,"Hardware f (genitive Hardware, no plural); (computing) hardware"
Steuermann,"Steuermann m (strong, genitive Steuermannes or Steuermanns, plural Steuermänner or Steuerleute); helmsman (he who is responsible for steering a ship); (rowing) coxswain"
Spurensicherung,"Spurensicherung f (genitive Spurensicherung, plural Spurensicherungen); (law enforcement) securing of evidence; (by extension) forensic squad, forensic department"
Kupfer,"Kupfer n (strong, genitive Kupfers, no plural); copper (chemical element, Cu, atomical number 29)"
Plutonium,"Plutonium n (strong, genitive Plutoniums, no plural); plutonium"
Socke,"Socke f (genitive Socke, plural Socken, diminutive Söckchen n); sock"
Kluft,"Kluft f (genitive Kluft, plural Klüfte); cleft, fissure, joint; gap, gulf, rift"
Bildhauer,"Bildhauer m (strong, genitive Bildhauers, plural Bildhauer, feminine Bildhauerin); sculptor (male or of unspecified gender) (occupation)"
Ernennung,"Ernennung f (genitive Ernennung, plural Ernennungen); (act of appointing) appointment"
Pokal,"Pokal m (strong, genitive Pokals or Pokales, plural Pokale); goblet, chalice; (sports, games) cup, trophy"
Hinterteil,"Hinterteil n (strong, genitive Hinterteiles or Hinterteils, plural Hinterteile); behind, hindquarter, butt"
Navigation,"Navigation f (genitive Navigation, no plural); navigation (theory and practice of charting a course for a ship, aircraft or spaceship)"
Ausbeutung,"Ausbeutung f (genitive Ausbeutung, plural Ausbeutungen); exploitation"
Orakel,"Orakel n (strong, genitive Orakels, plural Orakel); oracle"
Slum,"Slum m (strong, genitive Slums, plural Slums); slum"
Verwechslung,"Verwechslung f (genitive Verwechslung, plural Verwechslungen); confusion, mix-up"
Hehler,"Hehler m (strong, genitive Hehlers, plural Hehler, feminine Hehlerin); agent noun of hehlen; receiver and usually peddler of stolen goods; fence."
Tagung,"Tagung f (genitive Tagung, plural Tagungen); meeting, conference / convention"
Kleinkind,"Kleinkind n (strong, genitive Kleinkindes or Kleinkinds, plural Kleinkinder); child under six years old, pre-school-age child"
Maschinerie,"Maschinerie f (genitive Maschinerie, plural Maschinerien); machinery"
Appell,"Appell m (strong, genitive Appells, plural Appelle); (military) parade, muster; appeal, roll call"
Armbanduhr,"Armbanduhr f (genitive Armbanduhr, plural Armbanduhren); wristwatch"
Kittchen,"Kittchen n (strong, genitive Kittchens, plural Kittchen); (informal) jail, gaol"
Henne,"Henne f (genitive Henne, plural Hennen); hen (female chicken)"
Verfolger,"Verfolger m (strong, genitive Verfolgers, plural Verfolger, feminine Verfolgerin); chaser, haunter, persecutor, pursuer, follower (tail), tracker (male or of unspecified gender)"
Kost,"Kost f (genitive Kost, no plural); food, fare, diet, board, commons; meal"
Gaul,"Gaul m (strong, genitive Gaules or Gauls, plural Gäule); (regional) horse; (more widespread) hack, nag (bad, old or incapable horse)"
Roulette,"Roulette n (strong, genitive Roulettes, plural Roulettes); (gambling) roulette"
Pose,"Pose f (genitive Pose, plural Posen); (human body) pose"
Hosentasche,"Hosentasche f (genitive Hosentasche, plural Hosentaschen); trouser pocket, pants pocket"
Arterie,"Arterie f (genitive Arterie, plural Arterien); artery"
Karat,"Karat n (strong, genitive Karates or Karats, plural Karate); carat, karat"
Trumpf,"Trumpf m (strong, genitive Trumpfes or Trumpfs, plural Trümpfe); (card games or figurative) trump"
Rudel,"Rudel n (strong, genitive Rudels, plural Rudel); pack (of wolves, dogs, hyenas etc.)"
Fluglinie,"Fluglinie f (genitive Fluglinie, plural Fluglinien); (aviation) route; (aviation, colloquial) airline"
Schwertkampf,"Schwertkampf m (strong, genitive Schwertkampfes or Schwertkampfs, plural Schwertkämpfe); swordplay"
Horoskop,"Horoskop n (strong, genitive Horoskops, plural Horoskope); horoscope"
Stickstoff,"Stickstoff m (strong, genitive Stickstoffes or Stickstoffs, no plural); (chemistry) nitrogen"
Gebiss,"Gebiss n (strong, genitive Gebisses, plural Gebisse); (anatomy) set of teeth; (dentistry) dentures; bit (part of a bridle)"
Schema,"Schema n (strong, genitive Schemas, plural Schemata or Schemas or Schemen); schema"
Rasierer,"Rasierer m (strong, genitive Rasierers, plural Rasierer); agent noun of rasieren"
Koje,"Koje f (genitive Koje, plural Kojen); cabin; berth (sleeping room on a ship); bunk (built-in bed on a ship); (colloquial) bed"
Zusammenfassung,"Zusammenfassung f (genitive Zusammenfassung, plural Zusammenfassungen); summary, compilation, summing up, recapitulation; abstract, synopsis; résumé; précis"
Geschoss,"Geschoss n (strong, genitive Geschosses, plural Geschosse); projectile; storey, floor"
Partisan,"Partisan m (weak, genitive Partisanen, plural Partisanen); partisan (member of a body of detached light troops)"
Bubi,"Bubi pl (plural only); An ethnic group of Central Africa, indigenous to the island of Bioko."
Schwadron,"Schwadron f (genitive Schwadron, plural (uncommon) Schwadrone or Schwadronen) orSchwadron (uncommon) n (strong, genitive Schwadrons, plural Schwadrone); (historical, military) squadron (the smallest unit of the cavalry)"
Mappe,"Mappe f (genitive Mappe, plural Mappen, diminutive Mäppchen n); portfolio (case; collection); briefcase; folder; looseleaf binder"
Wendepunkt,"Wendepunkt m (strong, genitive Wendepunktes or Wendepunkts, plural Wendepunkte); turning point; (mathematics) inflection point"
Motte,"Motte f (genitive Motte, plural Motten); moth, any nocturnal butterfly; (specifically) moth, a member of Tineidae; (specifically) the clothing moth, Tineola bisselliella"
Dialog,"Dialog m (strong, genitive Dialoges or Dialogs, plural Dialoge); dialogue"
Amnestie,"Amnestie f (genitive Amnestie, plural Amnestien); (law) amnesty"
Pilz,"Pilz m (strong, genitive Pilzes, plural Pilze); mushroom; fungus"
Gladiator,"Gladiator m (mixed, genitive Gladiators, plural Gladiatoren, feminine Gladiatorin); gladiator (male or of unspecified gender)"
Ziffer,"Ziffer f (genitive Ziffer, plural Ziffern); digit, numeral; (law) a numbered division unit written alongside the text"
Abschlussfeier,"Abschlussfeier f (genitive Abschlussfeier, plural Abschlussfeiern); closing ceremony (of an event or some kind of educational training; specifically a graduation ceremony or a graduation party)"
Transvestit,"Transvestit m (weak, genitive Transvestiten, plural Transvestiten, feminine Transvestitin); transvestite (male or of unspecified gender)"
Lagune,"Lagune f (genitive Lagune, plural Lagunen); lagoon"
Zepter,"Zepter m or n (strong, genitive Zepters, plural Zepter); scepter"
Skifahren,"Skifahren n (strong, genitive Skifahrens, no plural); (uncountable) gerund of Ski fahren: skiing"
Verdauung,"Verdauung f (genitive Verdauung, no plural); digestion"
Kokosnuss,"Kokosnuss f (genitive Kokosnuss, plural Kokosnüsse); coconut"
Transaktion,"Transaktion f (genitive Transaktion, plural Transaktionen); transaction"
Ultimatum,"Ultimatum n (strong, genitive Ultimatums, plural Ultimaten); ultimatum"
Rehabilitation,"Rehabilitation f (genitive Rehabilitation, plural Rehabilitationen); (chiefly law) vindication (restoration of reputation)"
Bistro,"Bistro n (strong, genitive Bistros, plural Bistros); bistro"
Kettenreaktion,"Kettenreaktion f (genitive Kettenreaktion, plural Kettenreaktionen); (nuclear physics) chain reaction"
Sozialhilfe,"Sozialhilfe f (genitive Sozialhilfe, plural Sozialhilfen); income support, minimal social assistance"
Vorsatz,"Vorsatz m (strong, genitive Vorsatzes, plural Vorsätze); (law) malice, intention, premeditation; (chiefly in the plural) intention, something undertaken; resolution; something in front of something else; the preceding sentence; (bookbinding) flyleaf; an extension or accessory to a machine or tool that allows performance of specialized work"
Misserfolg,"Misserfolg m (strong, genitive Misserfolges or Misserfolgs, plural Misserfolge); failure"
Jahrbuch,"Jahrbuch n (strong, genitive Jahrbuches or Jahrbuchs, plural Jahrbücher); yearbook"
Schwalbe,"Schwalbe f (genitive Schwalbe, plural Schwalben); swallow, martin (small, migratory bird of the Hirundinidae family); (sports, soccer) dive (deliberate fall, simulated foul); (aviation, military) Schwalbe (WWII Messerschmitt Me-262 jet fighter)"
Segler,"Segler m (strong, genitive Seglers, plural Segler); one who sails, steers sailing boats; a sailor (for sport or recreation); (informal) short for a craft that sails or glides, especially a sailing boat, but also a paraglider, sailplane, etc.; (ornithology) swift (bird)"
Rollbahn,"Rollbahn f (genitive Rollbahn, plural Rollbahnen); taxiway"
Tang,"Tang m (strong, genitive Tangs, plural Tange); seaweed"
Kulisse,"Kulisse f (genitive Kulisse, plural Kulissen); (theater) scenery; set; flat; (figurative) scenery; setting; background (place or context in which something happens)"
Tentakel,Tentakel m; tentacle
Karpfen,"Karpfen m (strong, genitive Karpfens, plural Karpfen, diminutive Kärpfchen n or Kärpflein n); carp"
Jalousie,"Jalousie f (genitive Jalousie, plural Jalousien); roller blind, window blind, Venetian blind (indoor blind consisting of parallel stripes or slats)"
Besinnung,"Besinnung f (genitive Besinnung, no plural); consciousness; reflexion"
Werbespot,"Werbespot m (strong, genitive Werbespots, plural Werbespots); (advertisement) spot, ad, commercial"
Knechtschaft,"Knechtschaft f (genitive Knechtschaft, plural Knechtschaften); bondage, servitude, serfdom (state of being unfree and subordinated)"
Zahlmeister,"Zahlmeister m (strong, genitive Zahlmeisters, plural Zahlmeister); (historical) paymaster; purser"
Verdammnis,"Verdammnis f (genitive Verdammnis, plural Verdammnisse); damnation"
Kleber,"Kleber m (strong, genitive Klebers, plural Kleber); (somewhat informal) glue; gluten"
Seemann,"Seemann m (strong, genitive Seemanns or Seemannes, plural Seeleute or Seemänner, feminine (rare) Seefrau or (very rare) Seemännin); sailor (worker on a ship); seaman"
Kenner,"Kenner m (strong, genitive Kenners, plural Kenner, feminine Kennerin); expert, connoisseur"
Brustkorb,"Brustkorb m (strong, genitive Brustkorbes or Brustkorbs, plural Brustkörbe); ribcage"
Diplomat,"Diplomat m (weak, genitive Diplomaten, plural Diplomaten, feminine Diplomatin); diplomat"
Bagger,"Bagger m (strong, genitive Baggers, plural Bagger); excavator (vehicle), digger (machinery)"
Patenonkel,"Patenonkel m (strong, genitive Patenonkels, plural Patenonkel); godfather"
Globus,"Globus m (strong, genitive Globus or Globusses, plural Globen or Globusse); globe"
Wildschwein,"Wildschwein n (strong, genitive Wildschweines or Wildschweins, plural Wildschweine, diminutive Wildschweinchen n); razorback, wild boar, wild hog"
Meteorit,"Meteorit m (weak or strong, genitive Meteoriten or Meteorits, plural Meteoriten or Meteorite); (astronomy, geology) meteorite"
Puck,"Puck m (strong, genitive Pucks, plural Pucks); (ice hockey) puck"
Heiligkeit,"Heiligkeit f (genitive Heiligkeit, plural Heiligkeiten); holiness, holyness"
Kauderwelsch,"Kauderwelsch n (strong, genitive Kauderwelschs or Kauderwelsch, no plural); gibberish, gobbledygook; (obsolete) The variety of Romansch spoken in the Swiss town of Chur (Kauder) in canton Graubünden"
gemach,"gemach!; (dated) slowly!, easy!"
Zyklop,"Zyklop m (weak, genitive Zyklopen, plural Zyklopen); cyclops (giant of mythology)"
Aroma,"Aroma n (strong, genitive Aromas, plural Aromen); a (generally rather pleasant) spicy or fragrant taste or smell; aroma"
Meeting,"Meeting n (strong, genitive Meetings, plural Meetings); a business meeting; a scheduled formal meeting for a specific purpose or with an agenda"
Segelboot,"Segelboot n (strong, genitive Segelbootes or Segelboots, plural Segelboote); (tourism) sailboat"
Untergeschoss,"Untergeschoss n (strong, genitive Untergeschosses, plural Untergeschosse); basement"
Verleihung,"Verleihung f (genitive Verleihung, plural Verleihungen); awarding, conference, conferral, bestowing (of an award, honor, etc); lending (of something to someone, for a finite period of time)"
Schwellung,"Schwellung f (genitive Schwellung, plural Schwellungen); swelling"
Wollust,"Wollust f (genitive Wollust, plural Wollüste); lust; (Switzerland, archaic) lustful person"
Delirium,"Delirium n (strong, genitive Deliriums, plural Delirien); delirium"
Verleumdung,"Verleumdung f (genitive Verleumdung, plural Verleumdungen); defamation, calumny (act of injuring another's reputation by any slanderous communication)"
Hohn,"Hohn m (strong, genitive Hohnes or Hohns, no plural); mockery; scorn; derision"
Weihwasser,"Weihwasser n (strong, genitive Weihwassers, plural Weihwässer); (Christianity) holy water"
Verdeck,"Verdeck n (strong, genitive Verdeckes or Verdecks, plural Verdecke); hood (such as on a convertible car); (dated) deck (on a ship)"
Kinderheim,"Kinderheim n (strong, genitive Kinderheimes or Kinderheims, plural Kinderheime); children's home, protectory, orphanage"
Akkordeon,"Akkordeon n (strong, genitive Akkordeons, plural Akkordeons); accordion"
Sondereinheit,"Sondereinheit f (genitive Sondereinheit, plural Sondereinheiten); (military or law enforcement) special forces"
Schallplatte,"Schallplatte f (genitive Schallplatte, plural Schallplatten); (vinyl) record, gramophone record"
Pelzmantel,"Pelzmantel m (strong, genitive Pelzmantels, plural Pelzmäntel); fur coat"
Melancholie,"Melancholie f (genitive Melancholie, plural Melancholien); melancholia (a deep sadness or depression)"
Nullpunkt,"Nullpunkt m (strong, genitive Nullpunktes or Nullpunkts, plural Nullpunkte); zero point"
Macker,"Macker m (strong, genitive Mackers, plural Macker); (colloquial, derogatory) macho; bossy man; (colloquial, sometimes derogatory) boyfriend; (colloquial, chiefly Northern Germany) guy; fellow; dude; (colloquial, chiefly Northern Germany) boss; chief"
Klaps,"Klaps m (strong, genitive Klapses, plural Klapse); (colloquial) light slap [since the 18th c.]; (slang, derogatory) slight craziness; screw loose [since the 19th c.]"
Guru,"Guru m (strong, genitive Gurus, plural Gurus); guru, spiritual leader"
Brautkleid,"Brautkleid n (strong, genitive Brautkleides or Brautkleids, plural Brautkleider); A bridal gown, wedding dress as worn by a bride during a wedding ceremony"
Beisein,"Beisein n (strong, genitive Beiseins, no plural); presence"
Einhalt,"Einhalt m (strong, genitive Einhaltes or Einhalts, no plural); (formal) stop"
Heuschrecke,"Heuschrecke f (genitive Heuschrecke, plural Heuschrecken); grasshopper; locust; (colloquial, derogatory) an investor who buys enterprises or properties and deals with them in a way that harms the local population"
Heiligtum,"Heiligtum n (strong, genitive Heiligtumes or Heiligtums, plural Heiligtümer); sacred site; sanctuary; shrine; sacred, venerated object"
Brosche,"Brosche f (genitive Brosche, plural Broschen); brooch"
Funker,"Funker m (strong, genitive Funkers, plural Funker, feminine Funkerin); radio operator (male or of unspecified gender)"
Wettrennen,"Wettrennen n (strong, genitive Wettrennens, plural Wettrennen); race"
Rummel,"Rummel m (strong, genitive Rummels, plural Rummel); (uncountable) bustle, fuss; (regional, Northern Germany) fair, funfair"
Giraffe,"Giraffe f (genitive Giraffe, plural Giraffen, feminine Giraffin); giraffe (animal)"
Flop,"Flop m (strong, genitive Flops, plural Flops); flop (failure, especially in the entertainment industry)"
Triade,"Triade f (genitive Triade, plural Triaden); triad (grouping of three)"
Scheckbuch,"Scheckbuch n (strong, genitive Scheckbuches or Scheckbuchs, plural Scheckbücher); chequebook, checkbook"
Bankraub,"Bankraub m (strong, genitive Bankraubs or Bankraubes, plural Bankraube); bank robbery"
Wimper,"Wimper f (genitive Wimper, plural Wimpern); eyelash; lash; cilium"
Deckname,"Deckname m (weak, genitive Decknamens, plural Decknamen); code name, alias"
Interpretation,"Interpretation f (genitive Interpretation, plural Interpretationen); interpretation"
Spritzer,"Spritzer m (strong, genitive Spritzers, plural Spritzer); splash, spatter; (Austria) spritzer"
Erpresser,"Erpresser m (strong, genitive Erpressers, plural Erpresser, feminine Erpresserin); blackmailer; extortionist, extortioner"
Kap,"Kap n (strong, genitive Kaps, plural Kaps); cape (headland)"
Leichtigkeit,"Leichtigkeit f (genitive Leichtigkeit, no plural); easiness, ease; lightness"
Etikette,"Etikette f (genitive Etikette, no plural); etiquette"
Lack,"Lack m (strong, genitive Lackes or Lacks, plural Lacke); varnish (kind of paint) (used in some contexts where English says paint, e.g. car paint)"
Bombardierung,"Bombardierung f (genitive Bombardierung, plural Bombardierungen); (military) bombing, bombardment, shelling"
Schar,"Schar f (genitive Schar, plural Scharen); troop; (mathematics) family"
Lockvogel,"Lockvogel m (strong, genitive Lockvogels, plural Lockvögel); decoy"
Badehose,"Badehose f (genitive Badehose, plural Badehosen); A pair of swimming trunks"
Einlage,"Einlage f (genitive Einlage, plural Einlagen); insert, insertion, inlay; (medicine, orthopedics, for shoes) insert, insole; (cooking, in soups) garnish; (feminine hygiene) pad; (theater) interlude, intermezzo; (banking) deposit; (finance) share, investment"
Pfahl,"Pfahl m (strong, genitive Pfahles or Pfahls, plural Pfähle); (thick) stake, picket, pale; (heraldry) pale"
Beinbruch,"Beinbruch m (strong, genitive Beinbruches or Beinbruchs, plural Beinbrüche); (pathology) fracture of the leg"
Postfach,"Postfach n (strong, genitive Postfaches or Postfachs, plural Postfächer); post-office box"
Umwandlung,"Umwandlung f (genitive Umwandlung, plural Umwandlungen); conversion; transformation, transmutation; change; (chess) transformation of a pawn into another chessman"
Verpackung,"Verpackung f (genitive Verpackung, plural Verpackungen); packaging (the materials used to pack something)"
Zeppelin,"Zeppelin m or (rare) n (strong, genitive Zeppelins, plural Zeppeline); (strictly) rigid airship, Zeppelin; (in common usage) any airship"
Rittmeister,"Rittmeister m (strong, genitive Rittmeisters, plural Rittmeister); A cavalry officer."
Todestag,"Todestag m (strong, genitive Todestages or Todestags, plural Todestage); day of someone's death, date on which someone will die; anniversary of (someone's previous) death, deathday"
Werfer,"Werfer m (strong, genitive Werfers, plural Werfer); thrower"
Schachzug,"Schachzug m (strong, genitive Schachzuges or Schachzugs, plural Schachzüge); (chess) move; (by extension) move, stratagem"
Drecksloch,"Drecksloch n (strong, genitive Drecksloches or Dreckslochs, plural Dreckslöcher); Alternative form of Dreckloch"
Variante,"Variante f (genitive Variante, plural Varianten); variant; (board games) variation"
Vorkommnis,"Vorkommnis n (strong, genitive Vorkommnisses, plural Vorkommnisse); incident"
Diagramm,"Diagramm n (strong, genitive Diagrammes or Diagramms, plural Diagramme); diagram; chart"
Detonation,"Detonation f (genitive Detonation, plural Detonationen); detonation"
Fahrwerk,"Fahrwerk n (strong, genitive Fahrwerkes or Fahrwerks, plural Fahrwerke); (automotive) running gear; (aviation) landing gear"
abfinden,"abfinden (class 3 strong, third-person singular present findet ab, past tense fand ab, past participle abgefunden, past subjunctive fände ab, auxiliary haben); (transitive) to pay compensation to; (reflexive, + mit) to come to terms, to face"
durchqueren,"durchqueren (weak, third-person singular present durchquert, past tense durchquerte, past participle durchquert, auxiliary haben); to cross, to walk across"
erleuchten,"erleuchten (weak, third-person singular present erleuchtet, past tense erleuchtete, past participle erleuchtet, auxiliary haben); (transitive) to enlighten, illuminate"
verkraften,"verkraften (weak, third-person singular present verkraftet, past tense verkraftete, past participle verkraftet, auxiliary haben); to bear, stand, manage, cope with"
austricksen,"austricksen (weak, third-person singular present trickst aus, past tense trickste aus, past participle ausgetrickst, auxiliary haben); to trick (to gain an advantage); (sports) to feint"
verschlagen,"verschlagen (class 6 strong, third-person singular present verschlägt, past tense verschlug, past participle verschlagen, past subjunctive verschlüge, auxiliary haben); (transitive) to drive, to strand; to shlep; to bring (causing difficulty, often to somewhere someone didn't want to go); (idiomatic, with dative, in collocations) to suddenly take away; to lose (one's page in a book); (cooking) to beat together; (sports) to mishit (a ball); (mit Brettern verschlagen) to board up; (regional) to beat up, to thrash"
