Noun,Gender,Plurality
Pfote,f,Pfoten
Option,f,Optionen
Phantom,n,Phantome
Organ,n,Organe
Picknick,n,Picknicke
Orgasmus,m,Orgasmen
Pier,m,Piere
Pinsel,m,Pinsel
Plastik,n,no plural
Plätzchen,n,Plätzchen
Poesie,f,Poesien
Poker,n,no plural
Päckchen,n,Päckchen
Packung,f,Packungen
Pakt,m,Pakte
Pony,n,Ponys
Palästina,n,ina
Portion,f,Portionen
Papagei,m,Papageien
Port,m,Porte
Parade,f,Paraden
Paranoia,f,Paranoien
Präsentation,f,Präsentationen
Parasit,m,Parasiten
Präsenz,f,Präsenzen
Pärchen,n,Pärchen
Parfum,n,Parfums
Pariser,P,no plural
Park,m,Parks
Premier,m,Premiers
Priorität,f,Prioritäten
Patron,m,Patrone
Privatleben,n,no plural
Patrouille,f,Patrouillen
Privatsphäre,f,Privatsphären
Peitsche,f,Peitschen
Privileg,n,Privilegien
Pension,f,Pensionen
Perfektion,f,no plural
Produzent,m,Produzenten
Perle,f,Perlen
Ratschlag,m,Ratschläge
Raubüberfall,m,Raubüberfälle
Rauschen,n,no plural
Propaganda,f,no plural
Prophet,m,Propheten
Prophezeiung,f,Prophezeiungen
Prostituierte,f,Prostituierte
Prototyp,m,Prototypen
Psychopath,m,Psychopathen
Pub,n,Pubs
Razzia,f,Razzien
Pudding,m,Puddinge
Pulli,m,Pullis
Pullover,m,Pullover
Pulver,n,Pulver
Rebellion,f,Rebellionen
Punk,m,Punks
Puste,f,no plural
Putzfrau,f,Putzfrauen
Qual,f,Qualen
Quarantäne,f,Quarantänen
Quartier,n,Quartiere
Quittung,f,Quittungen
Quote,f,Quoten
Regenschirm,m,Regenschirme
Reinheit,f,Reinheiten
Reserve,f,Reserven
Reservierung,f,Reservierungen
Sanatorium,n,Sanatorien
Sattel,m,Sättel
Retter,m,Retter
Revolver,m,Revolver
Riegel,m,Riegel
Sauce,f,Saucen
Sauerei,f,Sauereien
Rind,n,Rinder
Säufer,m,Säufer
Sauna,f,Saunen
Romantik,f,no plural
Schachmatt,n,Schachmatts
Romanze,f,Romanzen
Schacht,m,Schächte
Schale,f,Schalen
Routine,f,Routinen
Schal,m,Schals
Rubel,m,Rubel
Schalter,m,Schalter
Scharfschütze,m,Scharfschützen
Schaufel,f,Schaufeln
Schaukel,f,Schaukeln
Schauspiel,n,Schauspiele
Scheinwerfer,m,Scheinwerfer
Scheißdreck,m,no plural
Schenkel,m,Schenkel
Rumpf,m,Rümpfe
Schick,m,no plural
Schiedsrichter,m,Schiedsrichter
Schimmer,m,Schimmer
Schirm,m,Schirme
Schlacht,f,Schlachten
Sackgasse,f,Sackgassen
Schlaftablette,f,Schlaftabletten
Schlaganfall,m,Schlaganfälle
Sahne,f,no plural
Schlamassel,m,Schlamassel
Salami,f,Salamis
Schlauch,m,Schläuche
Same,m,Samen
Sammler,m,Sammler
Schleier,m,Schleier
Schwerkraft,f,Schwerkräfte
Schleppe,f,Schleppen
Schließfach,n,Schließfächer
Schlips,m,Schlipse
Schlucht,f,Schluchten
Schwindel,m,no plural
Schwindler,m,Schwindler
Schmetterling,m,Schmetterlinge
Schmied,m,Schmiede
Schwung,m,Schwünge
Schmutz,m,no plural
Segel,n,Segel
Seide,f,Seiden
Schnurrbart,m,Schnurrbärte
Sekt,m,Sekte
Senior,m,Senioren
Schöpfer,m,Schöpfer
Schöpfung,f,Schöpfungen
Sensation,f,Sensationen
Sensor,m,Sensoren
Schrift,f,Schriften
Serienmörder,m,Serienmörder
Seufzer,m,Seufzer
Schublade,f,Schubladen
Schuft,m,Schufte
Schurke,m,Schurken
Schüssel,f,Schüsseln
Schutzengel,m,Schutzengel
Schwächling,m,Schwächlinge
Sichtkontakt,m,Sichtkontakte
Siegel,n,Siegel
Single,f,Singles
Sirene,f,Sirenen
Skelett,n,Skelette
Ski,m,Skier
Stacheldraht,m,Stacheldrähte
Skorpion,m,Skorpione
Stadion,n,Stadien
Staffel,f,Staffeln
Standpunkt,m,Standpunkte
Söldner,m,Söldner
Stapel,m,Stapel
Solo,n,Solos
Sonde,f,Sonden
Sonnenlicht,n,no plural
Sonnenschein,m,no plural
Staunen,n,no plural
Sonnensystem,n,system
Soße,f,Soßen
Stempel,m,Stempel
Stiefmutter,f,Stiefmütter
Stier,m,Stiere
Sperma,n,Spermen
Spiegelbild,n,Spiegelbilder
Spieß,m,Spieße
Spind,m,Spinde
Spital,n,Spitäler
Stipendium,n,Stipendien
Spitzname,m,Spitznamen
Spot,m,Spots
Streichholz,n,Streichhölzer
Sprengstoff,m,Sprengstoffe
Streifenwagen,m,Streifenwagen
Sprichwort,n,Sprichwörter
Streik,m,Streiks
Sprit,m,no plural
Spritztour,f,Spritztouren
Strenge,f,no plural
Sprung,m,Sprünge
Strick,m,Stricke
Strumpf,m,Strümpfe
Techniker,m,Techniker
Stückchen,n,Stückchen
Teenager,m,Teenager
Teich,m,Teiche
Telefonzelle,f,Telefonzellen
Stützpunkt,m,Stützpunkte
Telegramm,n,Telegramme
Teleskop,n,Teleskope
Temperament,n,Temperamente
Terminal,m,Terminals
Südafrika,n,ika
Südamerika,n,rika
Terrain,n,Terrains
Terrasse,f,Terrassen
Territorium,n,Territorien
Summer,m,Summer
Terror,m,no plural
Sympathie,f,Sympathien
Syndikat,n,Syndikate
Todesstrafe,f,Todesstrafen
Todesursache,f,Todesursachen
Tomate,f,Tomaten
Tafel,f,Tafeln
Tournee,f,Tourneen
Taktik,f,Taktiken
Takt,m,Takte
Transporter,m,Transporter
Tango,m,Tangos
Transport,m,Transporte
Tarnung,f,Tarnungen
Taschentuch,n,Taschentücher
Treibstoff,m,Treibstoffe
Tätowierung,f,Tätowierungen
Tresor,m,Tresore
Tau,m,no plural
Trinker,m,Trinker
Täuschung,f,Täuschungen
Trip,m,Trips
Uhrzeit,f,Uhrzeiten
Trompete,f,Trompeten
Umarmung,f,Umarmungen
Truhe,f,Truhen
Trupp,m,Trupps
Truthahn,m,Truthähne
Tugend,f,Tugenden
Tumor,m,Tumoren
Umhang,m,Umhänge
Türkei,f,rkei
Türklingel,f,Türklingeln
Tyrannei,f,Tyranneien
Umkreis,m,Umkreise
Umlaufbahn,f,Umlaufbahnen
Umweg,m,Umwege
Überdosis,f,Überdosen
Übergabe,f,Übergaben
Überstunde,f,Überstunden
Überwachung,f,Überwachungen
Ungar,m,Ungarn
Ufo,n,Ufos
Vase,f,Vasen
Ventil,n,Ventile
Verachtung,f,no plural
Unsterblichkeit,f,no plural
Unterbrechung,f,Unterbrechungen
Unterdrückung,f,Unterdrückungen
Untergrund,m,Untergründe
Unterhose,f,Unterhosen
Unterkunft,f,Unterkünfte
Unteroffizier,m,Unteroffiziere
Verbrennung,f,Verbrennungen
Unterschlupf,m,Unterschlüpfe
Untertan,m,Untertanen
Urin,m,
Urkunde,f,Urkunden
Vergebung,f,Vergebungen
Vergeltung,f,Vergeltungen
Versetzung,f,Versetzungen
Verlegenheit,f,Verlegenheiten
Verleger,m,Verleger
Verstärkung,f,Verstärkungen
Verlobung,f,Verlobungen
Vernichtung,f,Vernichtungen
Verstoß,m,Verstöße
Versuchung,f,Versuchungen
Verwirrung,f,Verwirrungen
Verschluss,m,Verschlüsse
Verzögerung,f,Verzögerungen
Verzweiflung,f,Verzweiflungen
Video,n,Videos
Vulkan,m,Vulkane
Visier,n,Visiere
Wachmann,m,Wachmänner
Visitenkarte,f,Visitenkarten
Vitamin,n,Vitamine
Wachtmeister,m,Wachtmeister
Vollidiot,m,Vollidioten
Volltreffer,m,Volltreffer
Waise,f,Waisen
Wal,m,Wale
Vorgesetzte,f,Vorgesetzte
Walzer,m,Walzer
Wandern,n,no plural
Wanne,f,Wannen
Wanze,f,Wanzen
Vorname,m,Vornamen
Wasserfall,m,Wasserfälle
Wechselgeld,n,Wechselgelder
Vorrat,m,Vorräte
Vorschuss,m,Vorschüsse
Vorspiel,n,Vorspiele
Weide,f,Weiden
Vorurteil,n,Vorurteile
Vorwand,m,Vorwände
Welpe,m,Welpen
Yacht,f,Yachten
Weltraum,m,no plural
Zange,f,Zangen
Wettkampf,m,Wettkämpfe
Zauberei,f,Zaubereien
Zauberer,m,Zauberer
Zeitalter,n,Zeitalter
Zeitmaschine,f,Zeitmaschinen
Wildnis,f,Wildnisse
Wirbel,m,Wirbel
Wirbelsäule,f,Wirbelsäulen
Zerstörer,m,Zerstörer
Wirt,m,Wirte
Zigeuner,m,Zigeuner
Witwer,m,Witwer
Wohlergehen,n,no plural
Wohlstand,m,no plural
Zoll,m,Zölle
Wrack,n,Wracks
Würfel,m,Würfel
Zufriedenheit,f,no plural
Wurzel,f,Wurzeln
Zünder,m,Zünder
Zündung,f,Zündungen
Zuneigung,f,Zuneigungen
Zutat,f,Zutaten
Zwischenfall,m,Zwischenfälle
Zwischenzeit,f,Zwischenzeiten
Abschaum,m,no plural
Asche,f,Aschen
Aufzug,m,Aufzüge
Ausrede,f,Ausreden
Beerdigung,f,Beerdigungen
Bach,m,Bäche
Bande,f,Banden
Baseball,m,Baseballs
Belieben,n,no plural
Belohnung,f,Belohnungen
Benehmen,n,no plural
Benzin,n,Benzine
Besatzung,f,Besatzungen
Besprechung,f,Besprechungen
Bestie,f,Bestien
Betrüger,m,Betrüger
Blutdruck,m,Blutdrucke
Blut,n,Blute
Bock,m,Böcke
Brand,m,Brände
Braut,f,Bräute
Brieftasche,f,Brieftaschen
Brite,m,Briten
Buchhalter,m,Buchhalter
Bude,f,Buden
Bulle,m,Bullen
Etage,f,Etagen
Ex,f,no plural
Feigling,m,Feiglinge
Feuerzeug,n,Feuerzeuge
Finsternis,f,Finsternisse
Flagge,f,Flaggen
Flamme,f,Flammen
Flieger,m,Flieger
Friseur,m,Friseure
Fuchs,m,Füchse
Führerschein,m,Führerscheine
Funken,F,no plural
Futter,n,no plural
Gelächter,n,Gelächter
Gesang,m,Gesänge
Geschrei,n,no plural
Gestank,m,Gestänke
Gift,n,Gifte
Gnade,f,Gnaden
Gräfin,f,Gräfinnen
Gürtel,m,Gürtel
Hahn,m,Hähne
Haken,m,Haken
Handtuch,n,Handtücher
Honig,m,Honige
Hühnchen,n,Hühnchen
Huhn,n,Hühner
Hure,f,Huren
Herzinfarkt,m,Herzinfarkte
Herzog,m,Herzöge
Hintern,m,Hintern
Jungfrau,f,Jungfrauen
Kabine,f,Kabinen
Kacke,f,no plural
Käfig,m,Käfige
Kanone,f,Kanonen
Karre,f,Karren
Kater,m,Kater
Kaution,f,Kautionen
Kehle,f,Kehlen
Keks,m,Kekse
Kellner,m,Kellner
Klemme,f,Klemmen
Knopf,m,Knöpfe
Knoten,m,Knoten
Kofferraum,m,Kofferräume
Koma,n,Komas
Korb,m,Körbe
Kratzer,m,Kratzer
Krawatte,f,Krawatten
Krebs,m,Krebse
Krone,f,Kronen
Kuh,f,Kühe
Kühlschrank,m,Kühlschränke
Kumpel,m,Kumpel
Kuss,m,Küsse
Landung,f,Landungen
Laster,n,Laster
Leber,f,Lebern
Legende,f,Legenden
Leinen,n,Leinen
Lektion,f,Lektionen
Liebhaber,m,Liebhaber
Liebling,m,Lieblinge
Lizenz,f,Lizenzen
Löffel,m,Löffel
Maul,n,Mäuler
Löwe,m,Löwen
Lunge,f,Lungen
Mädel,n,Mädel
Mafia,f,Mafias
Marine,f,Marinen
Marke,f,Marken
Meldung,f,Meldungen
Mission,f,Missionen
Mist,m,no plural
Nadel,f,Nadeln
Narbe,f,Narben
Narr,m,Narren
Neffe,m,Neffen
Müll,m,no plural
Mütze,f,Mützen
Notfall,m,Notfälle
Notiz,f,Notizen
Palast,m,Paläste
Pfad,m,Pfade
Pfeil,m,Pfeile
Pilot,m,Piloten
Pirat,m,Piraten
Pizza,f,Pizzen
Puppe,f,Puppen
Quatsch,m,
Rasen,m,Rasen
Räuber,m,Räuber
Rebell,m,Rebellen
Regie,f,Regien
Reifen,m,Reifen
Revolution,f,Revolutionen
Ritter,m,Ritter
Rollstuhl,m,Rollstühle
Ruhm,m,no plural
Schachtel,f,Schachteln
Schädel,m,Schädel
Schaf,n,Schafe
Schande,f,no plural
Schätzchen,n,Schätzchen
Scheck,m,Schecks
Schere,f,Scheren
Scherz,m,Scherze
Schild,n,Schilder
Schläger,m,Schläger
Schnaps,m,Schnäpse
Schuppen,m,Schuppen
Schwachkopf,m,Schwachköpfe
Schwanz,m,Schwänze
Seil,n,Seile
Sofa,n,Sofas
Sex,m,no plural
Spielzeug,n,Spielzeuge
Spinne,f,Spinnen
Spinner,m,Spinner
Spion,m,Spione
Stab,m,Stäbe
Stange,f,Stangen
Sünde,f,Sünden
Suppe,f,Suppen
Tabak,m,Tabake
Stift,m,Stifte
Tankstelle,f,Tankstellen
Tempel,m,Tempel
Torte,f,Torten
Trick,m,Tricks
Tropfen,m,Tropfen
Trost,m,no plural
Tüte,f,Tüten
Umschlag,m,Umschläge
Uniform,f,Uniformen
Verabredung,f,Verabredungen
Vergewaltigung,f,Vergewaltigungen
Verräter,m,Verräter
Verrat,m,no plural
Vieh,n,no plural
Verschwörung,f,Verschwörungen
Vorfahre,m,Vorfahren
Vorfall,m,Vorfälle
Wahnsinn,m,no plural
Wette,f,Wetten
Witwe,f,Witwen
Wunder,n,Wunder
Zaun,m,Zäune
Zentrale,f,Zentralen
Zoo,m,Zoos
Zwerg,m,Zwerge
Zwilling,m,Zwillinge
Alarmbereitschaft,f,Alarmbereitschaften
Glocke,f,Glocken
Büchse,f,Büchsen
Belästigung,f,Belästigungen
Pöbel,m,no plural
Mäuschen,n,Mäuschen
Blutvergießen,n,no plural
Bürgersteig,m,Bürgersteige
Molekül,n,Moleküle
Erlöser,m,Erlöser
Mücke,f,Mücken
Urteilsvermögen,n,no plural
Internat,n,Internate
Migräne,f,Migränen
Gebüsch,n,Gebüsche
Rückstand,m,Rückstände
Zügel,m,Zügel
Zimmermädchen,n,Zimmermädchen
Trophäe,f,Trophäen
Großzügigkeit,f,Großzügigkeiten
Gelübde,n,Gelübde
Gliedmaße,f,Gliedmaßen
Erschöpfung,f,Erschöpfungen
Einzelgänger,m,Einzelgänger
Brutalität,f,Brutalitäten
Krönung,f,Krönungen
Tanzfläche,f,Tanzflächen
Prügelei,f,Prügeleien
Banküberfall,m,Banküberfälle
Schwertkampf,m,Schwertkämpfe
Hinterwäldler,m,Hinterwäldler
Glühbirne,f,Glühbirnen
Prämie,f,Prämien
Sexualität,f,Sexualitäten
Jüngling,m,Jünglinge
Gefäß,n,Gefäße
Demütigung,f,Demütigungen
Möwe,f,Möwen
Füller,m,Füller
Geländer,n,Geländer
Schwätzer,m,Schwätzer
Gehaltserhöhung,f,Gehaltserhöhungen
Schießpulver,n,Schießpulver
Dünger,m,Dünger
Vermächtnis,n,Vermächtnisse
Maniküre,f,Maniküren
Härte,f,Härten
Schlussfolgerung,f,Schlussfolgerungen
Injektion,f,Injektionen
Fäulnis,f,Fäulnisse
Idol,n,Idole
Imbiss,m,Imbisse
Knüppel,m,Knüppel
Küken,n,Küken
Schnüffler,m,Schnüffler
Tränengas,n,Tränengase
Posten,m,Posten
Säbel,m,Säbel
Fußabdruck,m,Fußabdrücke
Buße,f,Bußen
Türsteher,m,Türsteher
Überlegung,f,Überlegungen
Gefährte,m,Gefährten
Versöhnung,f,Versöhnungen
Müdigkeit,f,no plural
Vergnügungspark,m,Vergnügungsparks
Schützengraben,m,Schützengräben
Fußspur,f,Fußspuren
Spott,m,no plural
Überfluss,m,no plural
Schluck,m,Schlucke
Krücke,f,Krücken
Formalität,f,Formalitäten
Erzählung,f,Erzählungen
Blindgänger,m,Blindgänger
Annäherung,f,Annäherungen
Jubiläum,n,Jubiläen
Gespür,n,no plural
Präsidium,n,Präsidien
Bürde,f,Bürden
Klapsmühle,f,Klapsmühlen
Gebäck,n,Gebäcke
Flasche,f,Flaschen
Intrige,f,Intrigen
Schürze,f,Schürzen
Antarktis,f,tarktis
Milliardär,m,Milliardäre
Wiederbelebung,f,Wiederbelebungen
Straßenrand,m,Straßenränder
Affe,m,Affen
Geldbörse,f,Geldbörsen
Schnäppchen,n,Schnäppchen
Identifikation,f,Identifikationen
Lautstärke,f,Lautstärken
Strauß,m,Sträuße
Betäubungsmittel,n,Betäubungsmittel
Pfütze,f,Pfützen
Bürste,f,Bürsten
Stabilität,f,no plural
Gedärm,n,Gedärme
Tötung,f,Tötungen
Nächstenliebe,f,no plural
Schuhgröße,f,Schuhgrößen
Tschechoslowakei,f,chechoslowakei
Leichenbeschau,f,Leichenbeschauen
Verhängnis,n,Verhängnisse
Bewusstsein,n,no plural
Schlüpfer,m,Schlüpfer
Stäbchen,n,Stäbchen
Überfall,m,Überfälle
Krümel,m,Krümel
Überweisung,f,Überweisungen
Straßenbahn,f,Straßenbahnen
Lähmung,f,Lähmungen
Glühwürmchen,n,Glühwürmchen
Ablösung,f,Ablösungen
Indiz,n,Indizien
Überzahl,f,no plural
Lebzeiten,f,only
Likör,m,Liköre
Zusammenstoß,m,Zusammenstöße
Bürokratie,f,Bürokratien
Intensität,f,Intensitäten
Ruhestörung,f,Ruhestörungen
Füllung,f,Füllungen
Nationalität,f,Nationalitäten
Eiswürfel,m,Eiswürfel
Immunität,f,Immunitäten
Müsli,n,
Transplantation,f,Transplantationen
Meisterstück,n,Meisterstücke
Überreichen,n,no plural
Übertreffen,n,no plural
Amulett,n,Amulette
Urkunde,f,Urkunden
Geistesgestörte,f,Geistesgestörte
Erfindergeist,m,Erfindergeister
Gewinn,m,Gewinne
Laich,m,Laiche
Matsch,m,no plural
Pförtner,m,Pförtner
Patrone,f,Patronen
Speichel,m,no plural
Aufsehen,n,no plural
